All values: R'000,2016/17,2015/16,2014/15,2013/14
,,,,
,,,,
n/a,Qualified audit opinion,Qualified audit opinion,Qualified audit opinion,
,,,,
Property rates,-,-,-,-
Service charges,20 691,25 668,18 777,16 723
Investment revenue,4 622,11 871,27 160,16 487
Transfers recognised - operational,260 443,480 062,374 159,492 969
Other own revenue,162 439,5 392,3 346,2 185
Total Revenue (excluding capital transfers and contributions),448 195,522 994,423 441,528 364
Employee costs,208 505,198 473,189 602,139 512
Remuneration of councillors,8 867,8 688,8 626,7 593
Depreciation & asset impairment,-,58 862,51 430,51 745
Finance charges,271,6 529,1 641,2 175
Materials and bulk purchases,27 293,48 215,33 189,52 430
Transfers and grants,5 659,43 906,79 492,148 303
Other expenditure,214 493,190 742,167 218,104 964
Total Expenditure,465 089,555 416,531 198,506 722
Surplus/(Deficit),(16 893),(32 422),(107 757),21 642
Transfers recognised - capital,500 698,422 206,445 782,244 041
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,483 804,389 785,338 025,265 684
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,483 804,389 785,338 025,265 684
,,,,
Capital expenditure,422 184,524 989,508 010,-
Transfers recognised - capital,418 385,500 261,476 583,-
Public contributions & donations,713,-,-,-
Borrowing,-,-,-,-
Internally generated funds,3 086,24 728,31 427,-
Total sources of capital funds,422 184,524 989,508 010,-
,,,,
Total current assets,269 931,80 143,198 045,285 621
Total non current assets,3 087 609,2 855 446,2 393 623,1 896 026
Total current liabilities,108 319,172 760,202 461,129 772
Total non current liabilities,19 717,19 717,28 349,34 859
Community wealth/Equity,3 229 504,2 743 113,2 360 857,2 017 017
,,,,
Net cash from (used) operating,143 069,1 481 911,1 302 681,236 549
Net cash from (used) investing,(274 245),(461 311),580 609,(305 053)
Net cash from (used) financing,-,542,-,-212
Cash/cash equivalents at the year end,(110 011),1 094 964,2 017 892,134 208
,,,,
Unauthorised expenditure,n/a,109 225,70 619,106 827
Irregular expenditure,n/a,405 233,188 055,197 993
Fruitless & wasteful expenditure,n/a,16 944,96,4 428
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited,
