All values: R'000,2016/17,2015/16,2014/15,2013/14


101 826,101 035

Population under 15,31.5%,30.7%
Population 15 to 64,63.3%,60.9%
Population over 65,5.2%,8.4%

 Per 100 (15-64),58.0,64.2

Males per 100 females,93.2,91.8

Per annum,0.18%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,5.4%,10.0%
Matric,20.2%,13.9%
Higher education,4.8%,4.8%

Households,24 577,28 357
Average household size,4.1,3.5
Female headed households,47.2%,48.0%
Formal dwellings,53.1%,61.5%
Housing owned,75.2%,68.9%

Flush toilet connected to sewerage,21.6%,22.4%
Weekly refuse removal,14.0%,24.6%
Piped water inside dwelling,13.7%,18.4%
Electricity for lighting,92.0%,87.3%

n/a,Financially unqualified with findings,Financially unqualified with findings,Qualified audit opinion

Property rates,14 201,15 841,8 795,12 531
Service charges,68 913,42 272,32 142,27 537
Investment revenue,7 294,9 422,9 245,6 604
Transfers recognised - operational,125 111,131 522,112 691,109 978
Other own revenue,12 329,7 851,7 659,6 105
Total Revenue (excluding capital transfers and contributions),227 848,206 907,170 533,162 755
Employee costs,113 675,75 493,62 225,56 328
Remuneration of councillors,11 563,13 849,12 908,10 816
Depreciation & asset impairment,36 363,32 720,30 300,2 522
Finance charges,6 296,16 370,22 597,14 975
Materials and bulk purchases,26 165,24 313,27 597,15 370
Transfers and grants,-,-,-,-
Other expenditure,67 839,76 272,64 080,48 141
Total Expenditure,261 900,239 017,219 707,148 152
Surplus/(Deficit),(34 052),(32 110),(49 175),14 603
Transfers recognised - capital,15 714,34 611,25 576,6 720
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,(18 338),2 501,(23 599),21 323
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,(18 338),2 501,(23 599),21 323

Capital expenditure,33 944,53 819,35 594,30 065
Transfers recognised - capital,21 155,34 611,25 392,14 024
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,12 790,19 208,10 202,16 041
Total sources of capital funds,33 944,53 819,35 594,30 065

Total current assets,156 865,123 534,146 716,164 867
Total non current assets,474 612,480 323,469 685,464 150
Total current liabilities,72 298,44 833,51 728,34 872
Total non current liabilities,33 983,34 066,44 502,54 634
Community wealth/Equity,525 197,524 958,520 171,539 511

Net cash from (used) operating,(14 679),44 430,45 376,44 208
Net cash from (used) investing,(37 030),(36 025),(35 670),49 885
Net cash from (used) financing,-,(31 608),(32 272),34 165
Cash/cash equivalents at the year end,54 117,105 825,129 029,141 068

Unauthorised expenditure,n/a,23 461,23 907,78 604
Irregular expenditure,n/a,36 867,40 289,7 111
Fruitless & wasteful expenditure,n/a,82,765,3 423
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),75 493,62 225,56 328,42 993,34 771
Remuneration of councillors (R000),13 849,12 908,10 816,10 783,9 876

Total Employee Positions,341,386,413,281,297
Total Vacant Employee Positions,5,3,11,9,79
Total Vacancy Percentage,1.47%,0.78%,2.66%,3.20%,26.60%

Managerial Positions - S57,7,7,7,7,5
Vacant Managerial Positions - S57,1,0,2,2,1
Managerial Positions - by organogram,16,16,13,13,6
Vacant Managerial Positions - by organogram,2,3,1,7,0
Community And Social Service Positions,31,33,136,74,51
Vacant Community And Social Service Positions,0,0,0,0,20
Finance And Administration Positions,94,74,50,57,46
Vacant Finance And Administration Positions,0,0,0,0,8
Electricity Positions,10,10,23,10,15
Vacant Electricity Positions,0,0,4,0,5
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,30,18,38,22,15
Vacant Public Safety Positions,2,0,0,0,5
Road Transport Positions,98,135,60,0,70
Vacant Road Transport Positions,0,0,4,0,20
Sport And Recreation Positions,20,20,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,35,39,39,98,55
Vacant Waste Management Positions,0,0,0,0,10
Waste Water Management Positions,0,0,0,0,34
Vacant Waste Water Management Positions,0,0,0,0,10
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,0,34,47,0,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,n/a,0.00,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,29 505,29 505,28 909,28 700,28 700
Domestic households with access to free basic service,19 418,14 658,14 197,14 197,14 727

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
