All values: R'000,2016/17,2015/16,2014/15,2013/14


880 790,855 793

Population under 15,32.7%,33.5%
Population 15 to 64,61.6%,57.6%
Population over 65,5.7%,8.9%

 Per 100 (15-64),62.4,73.6

Males per 100 females,89.6,88.5

Per annum,0.65%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,10.2%,13.2%
Matric,19.0%,13.2%
Higher education,5.7%,5.9%

Households,213 763,227 821
Average household size,4.1,3.6
Female headed households,52.2%,53.0%
Formal dwellings,55.9%,52.7%
Housing owned,71.2%,67.8%

Flush toilet connected to sewerage,17.0%,15.4%
Weekly refuse removal,17.4%,16.5%
Piped water inside dwelling,12.3%,12.5%
Electricity for lighting,82.4%,69.8%

n/a,Financially unqualified with findings,Financially unqualified with findings,Financially unqualified with findings

Property rates,-,-,-,-
Service charges,172 631,1 580 659,242 419,200 458
Investment revenue,4 736,-,27 382,32 462
Transfers recognised - operational,6 714,-,1 525 719,1 124 974
Other own revenue,275 320,70 834,151 525,94 217
Total Revenue (excluding capital transfers and contributions),459 400,1 651 494,1 947 045,1 452 111
Employee costs,394 700,622 528,569 951,464 158
Remuneration of councillors,21 567,14 130,13 030,12 253
Depreciation & asset impairment,35,100 034,90 856,103 642
Finance charges,3 688,42 187,-,14 477
Materials and bulk purchases,16 073,89 174,57 573,62 049
Transfers and grants,-,-,-,-
Other expenditure,312 918,530 405,967 518,617 382
Total Expenditure,748 980,1 398 458,1 698 928,1 273 961
Surplus/(Deficit),(289 580),253 035,248 117,178 151
Transfers recognised - capital,295 555,53 881,-,-
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,5 975,306 916,248 117,178 151
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,5 975,306 916,248 117,178 151

Capital expenditure,270 121,153 319,29 380,477 270
Transfers recognised - capital,260 200,153 319,-,458 101
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,9 921,-,29 380,19 170
Total sources of capital funds,270 121,153 319,29 380,477 270

Total current assets,229 719,393 763,592 369,634 882
Total non current assets,5 040 364,4 707 532,4 360 329,3 689 035
Total current liabilities,687 243,464 101,570 147,252 455
Total non current liabilities,246 298,242 497,342 836,188 118
Community wealth/Equity,4 336 542,4 394 698,4 039 715,3 883 345

Net cash from (used) operating,105 783,449 356,140 079,315 934
Net cash from (used) investing,20 000,(352 170),(337 178),(391 378)
Net cash from (used) financing,(83 461),(170 867),285 994,531
Cash/cash equivalents at the year end,121 099,131 365,205 046,116 150

Unauthorised expenditure,n/a,7 036,2 300,11
Irregular expenditure,n/a,290 417,288 538,615
Fruitless & wasteful expenditure,n/a,253,324,436
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),622 528,569 951,464 158,380 364,314 335
Remuneration of councillors (R000),14 130,13 030,12 253,12 686,10 538

Total Employee Positions,1 602,1 668,1 809,1 907,1 483
Total Vacant Employee Positions,57,231,40,229,6
Total Vacancy Percentage,3.56%,13.85%,2.21%,12.01%,0.40%

Managerial Positions - S57,7,7,7,8,8
Vacant Managerial Positions - S57,1,0,0,0,6
Managerial Positions - by organogram,80,80,154,154,66
Vacant Managerial Positions - by organogram,5,0,19,44,0
Community And Social Service Positions,19,0,36,0,0
Vacant Community And Social Service Positions,1,0,0,0,0
Finance And Administration Positions,335,270,269,501,451
Vacant Finance And Administration Positions,4,0,8,39,0
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,18,34,26,46,7
Vacant Enviromental Protection Positions,5,0,7,11,0
Health Positions,42,0,0,6,66
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,87,82,85,80,42
Vacant Public Safety Positions,0,0,3,0,0
Road Transport Positions,0,0,2,1,0
Vacant Road Transport Positions,0,0,0,0,0
Sport And Recreation Positions,2,2,2,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,1,0,4,0,0
Vacant Waste Management Positions,0,0,0,0,0
Waste Water Management Positions,247,247,54,27,0
Vacant Waste Water Management Positions,0,45,0,0,0
Water Positions,720,930,1 085,980,836
Vacant Water Positions,41,186,0,130,0
Other Positions,44,16,85,104,7
Vacant Other Positions,0,0,3,5,0


Blue Drop Score,n/a,n/a,80.41,0.00,74.62
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,247 500,247 500,244 967,244 578,251 810
Number of domestic households/delivery points,246 664,246 664,244 131,243 742,240 000
Inside the yard,33 951,33 824,31 291,30 902,31 902
Less than 200m from yard,191 322,122 120,122 120,122 120,118 718
More than 200m from yard,21 391,90 720,90 720,90 720,89 380
Domestic households with access to free basic service,200 224,187 209,29 364,118 254,118 718

Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,Yes
Number of households and non-domestic customers to which provided,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,155 829,118 390,118 390,83 437,67 000
Number of households using
Flush toilet - public sewerage,23 882,23 882,23 882,35 000,35 000
Flush toilet - septic tank,0,0,0,25 261,2 000
Ventilated pit latrine,130 388,93 573,93 573,23 176,30 000
Bucket system,0,0,0,0,0
Other,624,0,0,0,0
Domestic households with access to free basic service,145 270,3 018,4 196,23 176,30 000

Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0
