All values: R'000,2016/17,2015/16,2014/15,2013/14


840 055,806 478

Population under 15,38.9%,34.4%
Population 15 to 64,55.2%,57.5%
Population over 65,5.9%,8.2%

 Per 100 (15-64),81.1,74.0

Males per 100 females,90.4,89.9

Per annum,0.93%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,12.2%,13.6%
Matric,20.0%,14.6%
Higher education,6.5%,6.8%

Households,194 291,213 842
Average household size,4.3,3.6
Female headed households,51.5%,51.6%
Formal dwellings,56.3%,61.5%
Housing owned,69.1%,60.7%

Flush toilet connected to sewerage,31.6%,30.7%
Weekly refuse removal,27.0%,27.9%
Piped water inside dwelling,22.3%,23.1%
Electricity for lighting,89.9%,75.7%

n/a,Qualified audit opinion,Qualified audit opinion,Qualified audit opinion

Property rates,-,-,-,-
Service charges,194 870,335 760,184 784,-
Investment revenue,31 461,38 464,26 425,25 984
Transfers recognised - operational,523 566,590 775,486 188,482 455
Other own revenue,80 925,76 700,522 482,15 498
Total Revenue (excluding capital transfers and contributions),830 823,1 041 698,1 219 879,523 937
Employee costs,251 016,246 191,216 437,134 215
Remuneration of councillors,9 577,9 631,7 718,7 331
Depreciation & asset impairment,130 000,158 329,110 434,91 602
Finance charges,-,737,629,-
Materials and bulk purchases,17 875,73 684,14 344,13 322
Transfers and grants,22 246,213 186,186 172,405 924
Other expenditure,535 026,720 208,507 027,69 206
Total Expenditure,965 741,1 421 966,1 042 761,721 601
Surplus/(Deficit),(134 918),(380 268),177 118,(197 665)
Transfers recognised - capital,631 328,613 651,621 520,555 537
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,496 410,233 384,798 638,357 873
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,496 410,233 384,798 638,357 873

Capital expenditure,713 666,622 119,640 307,477 917
Transfers recognised - capital,713 666,601 160,634 890,474 591
Public contributions & donations,-,-,81,-
Borrowing,-,-,-,-
Internally generated funds,-,20 959,5 337,3 326
Total sources of capital funds,713 666,622 119,640 307,477 917

Total current assets,792 633,598 303,819 599,484 404
Total non current assets,5 228 841,3 830 901,3 809 043,3 279 567
Total current liabilities,69 718,232 603,239 422,189 277
Total non current liabilities,41 920,43 243,37 309,32 878
Community wealth/Equity,5 909 836,4 153 358,4 351 911,3 541 816

Net cash from (used) operating,583 482,629 455,575 783,385 535
Net cash from (used) investing,(680 226),(622 125),(585 161),(343 469)
Net cash from (used) financing,-,-,-,-
Cash/cash equivalents at the year end,(96 744),363 492,356 091,233 714

Unauthorised expenditure,n/a,183 441,215 133,14 455
Irregular expenditure,n/a,99 710,123 524,137 608
Fruitless & wasteful expenditure,n/a,885,818,221
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),246 191,216 437,134 215,122 621,117 756
Remuneration of councillors (R000),9 631,7 718,7 331,7 918,-

Total Employee Positions,1 010,683,453,500,378
Total Vacant Employee Positions,286,3,23,20,1
Total Vacancy Percentage,28.32%,0.44%,5.08%,4.00%,0.26%

Managerial Positions - S57,7,7,7,7,7
Vacant Managerial Positions - S57,1,1,1,0,1
Managerial Positions - by organogram,60,37,48,48,29
Vacant Managerial Positions - by organogram,21,2,14,13,0
Community And Social Service Positions,0,77,58,50,43
Vacant Community And Social Service Positions,0,0,1,3,0
Finance And Administration Positions,462,181,165,119,81
Vacant Finance And Administration Positions,157,0,6,2,0
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,0,25,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,8,0,8,21,0
Vacant Public Safety Positions,0,0,0,2,0
Road Transport Positions,37,56,56,82,0
Vacant Road Transport Positions,0,0,0,0,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,0,0,0,0,0
Vacant Waste Management Positions,0,0,0,0,0
Waste Water Management Positions,352,0,0,0,0
Vacant Waste Water Management Positions,74,0,0,0,0
Water Positions,84,325,102,148,142
Vacant Water Positions,33,0,0,0,0
Other Positions,0,0,9,0,76
Vacant Other Positions,0,0,1,0,0


Blue Drop Score,n/a,n/a,83.42,n/a,75.23
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,190 117,185 145,0,0,0
Number of domestic households/delivery points,187 498,182 526,0,0,0
Inside the yard,79 510,73 432,0,0,0
Less than 200m from yard,107 988,109 094,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,10 034,141 015,0,0,0

Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,0,0,0,3 329,3 329
Domestic households with access to free basic service,0,0,0,0,0

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,146 967,136 353,0,0,0
Number of households using
Flush toilet - public sewerage,62 327,62 327,0,0,0
Flush toilet - septic tank,368,369,0,0,0
Ventilated pit latrine,60 547,49 822,0,0,0
Bucket system,318,428,0,0,0
Other,20 788,20 788,0,0,0
Domestic households with access to free basic service,10 034,76 966,0,0,0

Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0
