All values: R'000,2016/17,2015/16,2014/15,2013/14


82 197,79 292

Population under 15,32.9%,30.2%
Population 15 to 64,61.1%,62.9%
Population over 65,6.0%,6.8%

 Per 100 (15-64),63.6,58.9

Males per 100 females,95.2,94.9

Per annum,0.82%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,5.4%,8.8%
Matric,25.3%,17.6%
Higher education,5.3%,7.3%

Households,20 748,19 922
Average household size,4.0,3.7
Female headed households,40.2%,38.7%
Formal dwellings,95.6%,95.3%
Housing owned,65.6%,56.4%

Flush toilet connected to sewerage,91.2%,78.1%
Weekly refuse removal,88.3%,80.9%
Piped water inside dwelling,52.5%,56.7%
Electricity for lighting,95.1%,92.1%

n/a,Financially unqualified with findings,Financially unqualified with findings,Financially unqualified with findings

Property rates,27 753,21 481,20 103,17 171
Service charges,141 355,106 300,103 042,95 599
Investment revenue,1 178,910,2 299,2 578
Transfers recognised - operational,112 394,49 841,46 008,65 831
Other own revenue,10 186,9 648,11 196,14 732
Total Revenue (excluding capital transfers and contributions),292 866,188 180,182 649,195 911
Employee costs,100 683,76 236,77 839,55 362
Remuneration of councillors,7 122,4 286,4 086,3 505
Depreciation & asset impairment,-,41 081,40 972,39 782
Finance charges,-,-,-,-
Materials and bulk purchases,73 918,55 663,47 654,43 697
Transfers and grants,14,18,23,18
Other expenditure,66 761,63 936,79 807,56 630
Total Expenditure,248 498,241 220,250 380,198 995
Surplus/(Deficit),44 369,(53 040),(67 731),(3 083)
Transfers recognised - capital,53 608,17 237,27 392,-
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,97 977,(35 803),(40 338),(3 083)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,97 977,(35 803),(40 338),(3 083)

Capital expenditure,19 984,34 559,28 240,37 633
Transfers recognised - capital,19 983,17 665,14 090,19 383
Public contributions & donations,-,-,-,5 535
Borrowing,-,-,-,-
Internally generated funds,1,16 894,14 150,12 715
Total sources of capital funds,19 984,34 559,28 240,37 633

Total current assets,128 844,31 632,55 039,86 240
Total non current assets,655 544,643 774,650 070,665 559
Total current liabilities,49 694,37 291,38 031,28 631
Total non current liabilities,34 385,34 701,39 628,-
Community wealth/Equity,700 310,603 415,627 451,723 168

Net cash from (used) operating,6 618,4 874,20 574,24 580
Net cash from (used) investing,(5 600),(24 556),(27 265),(37 230)
Net cash from (used) financing,-,11,252,254
Cash/cash equivalents at the year end,-,1 708,21 380,27 818

Unauthorised expenditure,n/a,-,14 314,20 092
Irregular expenditure,n/a,111,-,1 164
Fruitless & wasteful expenditure,n/a,64,14,95
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),76 236,77 839,55 362,54 581,51 362
Remuneration of councillors (R000),4 286,4 086,3 505,2 952,2 714

Total Employee Positions,372,380,369,418,357
Total Vacant Employee Positions,48,36,28,76,10
Total Vacancy Percentage,12.90%,9.47%,7.59%,18.18%,2.80%

Managerial Positions - S57,4,4,4,4,4
Vacant Managerial Positions - S57,1,1,1,0,0
Managerial Positions - by organogram,16,16,6,6,18
Vacant Managerial Positions - by organogram,1,8,0,0,0
Community And Social Service Positions,48,37,37,198,150
Vacant Community And Social Service Positions,4,4,4,28,0
Finance And Administration Positions,80,96,91,76,80
Vacant Finance And Administration Positions,10,7,7,17,0
Electricity Positions,33,28,28,32,24
Vacant Electricity Positions,2,4,4,3,1
Enviromental Protection Positions,5,6,6,0,0
Vacant Enviromental Protection Positions,0,1,1,0,0
Health Positions,0,55,55,0,1
Vacant Health Positions,0,1,1,0,1
Public Safety Positions,17,15,15,18,9
Vacant Public Safety Positions,1,3,3,3,0
Road Transport Positions,73,58,58,0,0
Vacant Road Transport Positions,13,3,3,0,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,54,30,30,41,37
Vacant Waste Management Positions,10,0,0,10,0
Waste Water Management Positions,0,0,0,0,19
Vacant Waste Water Management Positions,0,0,0,0,5
Water Positions,42,35,35,43,15
Vacant Water Positions,6,4,4,15,3
Other Positions,0,0,4,0,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,61.01,n/a,51.65
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,10 498,10 434,9 594,9 159,10 170
Number of domestic households/delivery points,9 721,9 657,9 594,9 159,10 170
Inside the yard,9 618,9 554,9 253,8 677,9 829
Less than 200m from yard,103,103,341,141,341
More than 200m from yard,0,0,0,341,0
Domestic households with access to free basic service,5 333,5 272,4 542,8 575,10 170

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,12 235,12 235,11 264,13 244,13 244
Domestic households with access to free basic service,3 271,3 182,2 650,2 650,1 409

Green Drop Score,n/a,n/a,0,n/a,0
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
