All values: R'000,2016/17,2015/16,2014/15,2013/14


144 929,137 039

Population under 15,37.5%,35.3%
Population 15 to 64,56.9%,56.4%
Population over 65,5.6%,8.3%

 Per 100 (15-64),75.6,77.2

Males per 100 females,93.3,90.1

Per annum,1.27%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,5.7%,15.9%
Matric,16.4%,11.8%
Higher education,4.9%,5.0%

Households,35 804,37 550
Average household size,4.0,3.4
Female headed households,48.4%,52.0%
Formal dwellings,47.8%,33.2%
Housing owned,67.2%,61.9%

Flush toilet connected to sewerage,6.9%,8.0%
Weekly refuse removal,22.4%,12.4%
Piped water inside dwelling,11.1%,10.4%
Electricity for lighting,62.0%,46.5%

n/a,Financially unqualified with findings,Financially unqualified with findings,Financially unqualified with findings

Property rates,20 208,14 583,13 681,13 354
Service charges,28 000,20 807,18 981,19 074
Investment revenue,4 255,3 652,2 101,1 592
Transfers recognised - operational,129 987,157 496,118 378,96 148
Other own revenue,8 442,7 197,9 687,8 570
Total Revenue (excluding capital transfers and contributions),190 892,203 736,162 827,138 737
Employee costs,77 287,70 803,61 505,57 617
Remuneration of councillors,10 349,10 792,9 814,9 483
Depreciation & asset impairment,497,26 843,30 834,31 093
Finance charges,725,907,814,621
Materials and bulk purchases,30 682,24 530,20 582,22 941
Transfers and grants,145,23 800,-,263
Other expenditure,72 417,49 095,53 835,54 063
Total Expenditure,192 102,206 771,177 384,176 081
Surplus/(Deficit),(1 210),(3 035),(14 557),(37 343)
Transfers recognised - capital,55 552,33 234,40 841,28 184
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,54 341,30 200,26 284,(9 159)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,54 341,30 200,26 284,(9 159)

Capital expenditure,41 262,43 770,47 584,36 437
Transfers recognised - capital,30 160,27 787,24 141,-
Public contributions & donations,-,-,-,36 437
Borrowing,-,-,-,-
Internally generated funds,11 103,15 983,23 443,-
Total sources of capital funds,41 262,43 770,47 584,36 437

Total current assets,84 163,62 904,42 443,46 120
Total non current assets,373 732,374 261,359 397,346 791
Total current liabilities,35 592,37 083,38 746,48 440
Total non current liabilities,11 833,15 878,12 994,9 302
Community wealth/Equity,410 469,384 204,350 100,335 169

Net cash from (used) operating,28 085,58 844,54 194,38 333
Net cash from (used) investing,(51 633),(40 849),(44 364),(35 924)
Net cash from (used) financing,-,(84),(257),(137)
Cash/cash equivalents at the year end,28 168,51 716,33 806,24 233

Unauthorised expenditure,n/a,-,2 980,5 180
Irregular expenditure,n/a,-,484,51
Fruitless & wasteful expenditure,n/a,-,874,90
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),70 803,61 505,57 617,48 673,39 926
Remuneration of councillors (R000),10 792,9 814,9 483,8 430,7 738

Total Employee Positions,237,216,227,176,298
Total Vacant Employee Positions,14,2,29,0,57
Total Vacancy Percentage,5.91%,0.93%,12.78%,0.00%,19.13%

Managerial Positions - S57,6,6,6,6,5
Vacant Managerial Positions - S57,1,2,0,0,0
Managerial Positions - by organogram,21,19,19,18,14
Vacant Managerial Positions - by organogram,1,0,2,0,0
Community And Social Service Positions,113,59,35,46,73
Vacant Community And Social Service Positions,6,0,22,0,11
Finance And Administration Positions,35,44,82,66,104
Vacant Finance And Administration Positions,4,0,3,0,37
Electricity Positions,11,9,9,5,8
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,5,0,0,0,0
Vacant Enviromental Protection Positions,2,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,15,12,17,11,7
Vacant Public Safety Positions,0,0,0,0,0
Road Transport Positions,25,28,25,0,0
Vacant Road Transport Positions,0,0,0,0,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,0,29,25,24,32
Vacant Waste Management Positions,0,0,0,0,0
Waste Water Management Positions,0,0,0,0,55
Vacant Waste Water Management Positions,0,0,0,0,9
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,6,10,9,0,0
Vacant Other Positions,0,0,2,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,4 427,1 180,1 123

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,14 928,14 779,14 779,14 058,14 058
Domestic households with access to free basic service,4 215,3 397,3 397,3 884,1 129

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,4 427,1 180,1 123

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,8 344,8 344,8 344,8 344,8 344
Domestic households with access to free basic service,4 050,4 427,4 427,1 180,1 123
