All values: R'000,2016/17,2015/16,2014/15,2013/14


124 532,120 758

Population under 15,40.1%,35.1%
Population 15 to 64,52.5%,55.0%
Population over 65,7.4%,9.9%

 Per 100 (15-64),90.5,81.9

Males per 100 females,91.5,90.1

Per annum,0.70%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,12.1%,18.6%
Matric,15.5%,10.9%
Higher education,3.5%,3.8%

Households,27 008,32 005
Average household size,4.6,3.6
Female headed households,53.2%,53.7%
Formal dwellings,38.1%,55.8%
Housing owned,75.6%,60.7%

Flush toilet connected to sewerage,13.1%,11.7%
Weekly refuse removal,18.7%,8.2%
Piped water inside dwelling,4.6%,8.6%
Electricity for lighting,94.0%,78.6%

n/a,Financially unqualified with findings,Financially unqualified with findings,Qualified audit opinion

Property rates,3 958,3 744,3 719,3 218
Service charges,11 168,12 036,11 180,21 381
Investment revenue,2 313,3 846,3 350,3 005
Transfers recognised - operational,131 580,145 190,112 881,98 441
Other own revenue,7 240,8 819,9 106,36 260
Total Revenue (excluding capital transfers and contributions),156 259,173 635,140 235,162 305
Employee costs,56 756,53 657,42 783,47 295
Remuneration of councillors,11 185,10 885,10 104,9 812
Depreciation & asset impairment,24 842,22 802,31 314,31 703
Finance charges,-,-,787,690
Materials and bulk purchases,13 514,15 629,14 809,12 851
Transfers and grants,17 176,28 906,23 060,19 462
Other expenditure,62 411,71 375,58 934,74 021
Total Expenditure,185 884,203 253,181 791,195 833
Surplus/(Deficit),(29 625),(29 618),(41 556),(33 527)
Transfers recognised - capital,26 180,30 615,30 399,28 198
Contributions recognised - capital & contributed assets,-,(259),-,-
Surplus/(Deficit) after capital transfers & contributions,(3 445),737,(11 157),(5 329)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,(3 445),737,(11 157),(5 329)

Capital expenditure,32 843,48 154,38 585,37 101
Transfers recognised - capital,20 545,30 615,24 132,28 322
Public contributions & donations,122,-,-,1 312
Borrowing,-,-,-,-
Internally generated funds,12 176,17 539,14 453,7 467
Total sources of capital funds,32 843,48 154,38 585,37 101

Total current assets,15 250,45 005,55 816,70 842
Total non current assets,420 840,412 848,446 105,431 526
Total current liabilities,14 286,41 420,37 293,23 773
Total non current liabilities,17 341,7 000,6 241,8 812
Community wealth/Equity,404 463,409 433,458 386,469 783

Net cash from (used) operating,16 144,44 969,18 024,58 909
Net cash from (used) investing,(32 890),(48 154),(36 828),(60 614)
Net cash from (used) financing,(573),(296),(414),(416)
Cash/cash equivalents at the year end,10 977,28 296,31 776,50 993

Unauthorised expenditure,n/a,21 573,9 857,12 749
Irregular expenditure,n/a,7 217,20 260,55 380
Fruitless & wasteful expenditure,n/a,18,68,266
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),53 657,42 783,47 295,43 423,40 637
Remuneration of councillors (R000),10 885,10 104,9 812,9 099,8 270

Total Employee Positions,181,310,373,352,197
Total Vacant Employee Positions,0,22,100,168,3
Total Vacancy Percentage,0.00%,7.10%,26.81%,47.73%,1.52%

Managerial Positions - S57,6,6,6,8,8
Vacant Managerial Positions - S57,0,0,0,2,2
Managerial Positions - by organogram,12,9,8,7,1
Vacant Managerial Positions - by organogram,0,1,0,6,0
Community And Social Service Positions,22,57,61,95,35
Vacant Community And Social Service Positions,0,6,13,28,1
Finance And Administration Positions,79,86,78,118,46
Vacant Finance And Administration Positions,0,9,10,70,0
Electricity Positions,6,4,3,3,3
Vacant Electricity Positions,0,1,0,0,0
Enviromental Protection Positions,6,1,2,0,0
Vacant Enviromental Protection Positions,0,0,1,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,3,2,13,10,0
Vacant Public Safety Positions,0,0,11,8,0
Road Transport Positions,17,15,30,14,14
Vacant Road Transport Positions,0,0,15,12,0
Sport And Recreation Positions,4,3,3,0,2
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,26,27,30,27,27
Vacant Waste Management Positions,0,0,3,0,0
Waste Water Management Positions,0,60,78,0,21
Vacant Waste Water Management Positions,0,0,18,0,0
Water Positions,0,16,25,46,27
Vacant Water Positions,0,0,6,18,0
Other Positions,0,24,36,24,13
Vacant Other Positions,0,5,23,24,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,22 342,22 324,14 214
Number of domestic households/delivery points,0,0,21 856,21 856,13 746
Inside the yard,0,0,6 824,6 824,7 230
Less than 200m from yard,0,0,11 315,11 315,3 698
More than 200m from yard,0,0,3 717,3 717,2 818
Domestic households with access to free basic service,0,0,364,8 181,8 189

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,No,No
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,19 765,19 765,18 371,17 861,17 532
Domestic households with access to free basic service,3 104,3 259,3 050,6 267,7 267

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,20 672,20 672,14 288
Number of households using
Flush toilet - public sewerage,0,0,4 392,4 392,4 000
Flush toilet - septic tank,0,0,0,0,15
Ventilated pit latrine,0,0,8 422,8 422,10 000
Bucket system,0,0,0,0,56
Other,0,0,7 641,7 641,0
Domestic households with access to free basic service,0,0,471,461,461

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,No,No
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,7 992,7 992,6 700,6 700,2 802
Domestic households with access to free basic service,1 851,1 483,471,389,461
