All values: R'000,2016/17,2015/16,2014/15,2013/14


162 014,155 513

Population under 15,44.2%,39.5%
Population 15 to 64,50.3%,52.9%
Population over 65,5.4%,7.6%

 Per 100 (15-64),98.6,89.2

Males per 100 females,85.6,86.1

Per annum,0.93%,n/a

Unemployment rate (official),n/a,45.7%
Youth unemployment rate (official) 15-34,n/a,55.3%

No schooling,21.0%,19.7%
Matric,13.8%,9.6%
Higher education,5.3%,5.2%

Households,33 156,37 214
Average household size,4.9,4.0
Female headed households,60.0%,57.7%
Formal dwellings,16.4%,30.7%
Housing owned,78.4%,63.8%

Flush toilet connected to sewerage,3.5%,3.8%
Weekly refuse removal,0.4%,2.9%
Piped water inside dwelling,4.7%,3.0%
Electricity for lighting,80.2%,50.9%

n/a,Clean audit outcome,Financially unqualified with findings,Financially unqualified with findings

Property rates,3 167,3 496,2 999,2 773
Service charges,649,839,725,1 454
Investment revenue,5 288,5 047,2 839,2 775
Transfers recognised - operational,134 082,131 281,112 537,117 474
Other own revenue,18 364,64 699,4 920,2 585
Total Revenue (excluding capital transfers and contributions),161 550,205 362,124 021,127 061
Employee costs,50 606,53 487,46 714,37 928
Remuneration of councillors,12 363,12 750,11 941,10 897
Depreciation & asset impairment,-,35 115,37 035,28 065
Finance charges,-,-,450,69
Materials and bulk purchases,3 977,5 925,-,4 178
Transfers and grants,2 809,-,-,23 743
Other expenditure,57 538,69 504,69 247,66 349
Total Expenditure,127 291,176 781,165 387,171 230
Surplus/(Deficit),34 259,28 581,(41 366),(44 169)
Transfers recognised - capital,63 652,57 304,46 804,63 006
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,97 911,85 885,5 438,18 837
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,97 911,85 885,5 438,18 837

Capital expenditure,73 717,92 272,43 884,38 009
Transfers recognised - capital,51 227,57 304,34 664,38 009
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,22 491,34 968,9 221,-
Total sources of capital funds,73 717,92 272,43 884,38 009

Total current assets,92 590,89 977,54 487,57 786
Total non current assets,431 015,377 841,314 948,293 368
Total current liabilities,112 152,43 167,33 384,24 490
Total non current liabilities,-,35,382,-
Community wealth/Equity,411 452,424 616,335 670,326 664

Net cash from (used) operating,110 528,81 318,42 723,34 988
Net cash from (used) investing,(73 717),(52 657),(40 618),(41 321)
Net cash from (used) financing,-,(378),(275),-
Cash/cash equivalents at the year end,116 134,79 323,51 040,49 211

Unauthorised expenditure,n/a,-,-,-
Irregular expenditure,n/a,-,-,-
Fruitless & wasteful expenditure,n/a,4,7,98
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),53 487,46 714,37 928,34 651,27 683
Remuneration of councillors (R000),12 750,11 941,10 897,9 116,9 131

Total Employee Positions,170,209,185,165,169
Total Vacant Employee Positions,3,9,20,4,8
Total Vacancy Percentage,1.76%,4.31%,10.81%,2.42%,4.73%

Managerial Positions - S57,1,1,6,6,6
Vacant Managerial Positions - S57,0,0,3,2,2
Managerial Positions - by organogram,5,5,7,7,7
Vacant Managerial Positions - by organogram,0,1,2,2,2
Community And Social Service Positions,12,6,37,52,52
Vacant Community And Social Service Positions,0,0,5,0,0
Finance And Administration Positions,67,67,56,52,54
Vacant Finance And Administration Positions,1,3,1,0,2
Electricity Positions,1,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,1,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,1,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,13,27,5,6,8
Vacant Public Safety Positions,1,2,0,0,2
Road Transport Positions,19,29,0,21,21
Vacant Road Transport Positions,0,1,0,0,0
Sport And Recreation Positions,0,0,1,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,44,46,41,0,0
Vacant Waste Management Positions,1,0,9,0,0
Waste Water Management Positions,0,0,4,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,26,21,21
Vacant Water Positions,0,0,0,0,0
Other Positions,8,28,0,0,0
Vacant Other Positions,0,2,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,23 853,15 187,15 187
Number of domestic households/delivery points,0,0,23 687,15 009,15 009
Inside the yard,0,0,1 103,579,579
Less than 200m from yard,0,0,22 584,14 430,14 430
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,14 791,14 791,14 791

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,16 079,16 079,14 576,13 961,13 961
Domestic households with access to free basic service,4 592,8 557,1 243,13 961,13 961

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,16 822,9 978,9 978
Number of households using
