All values: R'000,2016/17,2015/16,2014/15,2013/14


267 011,250 776

Population under 15,35.7%,31.0%
Population 15 to 64,59.3%,61.8%
Population over 65,5.0%,7.2%

 Per 100 (15-64),68.7,61.7

Males per 100 females,90.4,90.6

Per annum,1.43%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,8.4%,9.5%
Matric,26.7%,20.0%
Higher education,9.5%,9.7%

Households,65 146,68 354
Average household size,4.1,3.5
Female headed households,48.2%,48.4%
Formal dwellings,85.7%,87.7%
Housing owned,56.3%,60.4%

Flush toilet connected to sewerage,57.5%,58.9%
Weekly refuse removal,49.8%,54.4%
Piped water inside dwelling,40.4%,42.4%
Electricity for lighting,92.4%,88.7%

n/a

Property rates,4 832
Service charges,168 895
Investment revenue,3 237
Transfers recognised - operational,143 339
Other own revenue,27 688
Total Revenue (excluding capital transfers and contributions),347 991
Employee costs,154 357
Remuneration of councillors,20 828
Depreciation & asset impairment,-
Finance charges,16
Materials and bulk purchases,111 858
Transfers and grants,13 870
Other expenditure,69 618
Total Expenditure,370 547
Surplus/(Deficit),(22 556)
Transfers recognised - capital,27 397
Contributions recognised - capital & contributed assets,-
Surplus/(Deficit) after capital transfers & contributions,4 841
Share of surplus/(deficit) of associate,-
Surplus/(Deficit) for the year,4 841

Capital expenditure,68 512
Transfers recognised - capital,34 238
Public contributions & donations,-
Borrowing,-
Internally generated funds,34 274
Total sources of capital funds,68 512

Total current assets,319 912
Total non current assets,1 512 104
Total current liabilities,120 066
Total non current liabilities,15 929
Community wealth/Equity,1 711 949

Net cash from (used) operating,70 800
Net cash from (used) investing,(53 440)
Net cash from (used) financing,-
Cash/cash equivalents at the year end,17 360

Unauthorised expenditure,n/a
Irregular expenditure,n/a
Fruitless & wasteful expenditure,n/a
S71 Unaudited
