All values: R'000,2016/17,2015/16,2014/15,2013/14


31 692,30 832

Population under 15,27.4%,28.4%
Population 15 to 64,66.4%,62.0%
Population over 65,6.2%,9.6%

 Per 100 (15-64),50.6,61.3

Males per 100 females,92.4,92.3

Per annum,0.63%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,7.6%,18.7%
Matric,19.1%,15.4%
Higher education,4.4%,5.2%

Households,8 774,8 073
Average household size,3.6,3.3
Female headed households,45.0%,44.6%
Formal dwellings,66.6%,68.5%
Housing owned,83.0%,60.9%

Flush toilet connected to sewerage,19.5%,12.0%
Weekly refuse removal,26.7%,42.7%
Piped water inside dwelling,8.1%,17.4%
Electricity for lighting,75.8%,78.3%

n/a,Financially unqualified with findings,Qualified audit opinion,Disclaimer of audit opinion

Property rates,24 115,17 000,17 194,16 455
Service charges,11 992,5 485,6 444,5 869
Investment revenue,177,896,276,1 088
Transfers recognised - operational,29 508,48 787,42 637,37 575
Other own revenue,13 400,8 539,7 700,7 105
Total Revenue (excluding capital transfers and contributions),79 192,80 708,74 252,68 092
Employee costs,47 017,42 570,31 766,31 981
Remuneration of councillors,4 157,3 993,3 759,3 202
Depreciation & asset impairment,-,25 267,31 355,21 744
Finance charges,497,1 238,1 367,2 355
Materials and bulk purchases,6 157,7 954,7 262,5 399
Transfers and grants,-,-,-,-
Other expenditure,24 696,28 514,37 789,36 096
Total Expenditure,82 525,109 537,113 298,100 778
Surplus/(Deficit),(3 332),(28 829),(39 046),(32 686)
Transfers recognised - capital,16 603,33 065,12 815,21 796
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,13 271,4 236,(26 231),(10 890)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,13 271,4 236,(26 231),(10 890)

Capital expenditure,12 994,34 372,9 994,324 879
Transfers recognised - capital,11 979,31 226,5 005,145 832
Public contributions & donations,-,-,-,179 047
Borrowing,-,-,-,-
Internally generated funds,1 015,3 146,4 989,-
Total sources of capital funds,12 994,34 372,9 994,324 879

Total current assets,27 795,13 583,27 485,44 548
Total non current assets,78 241,374 871,319 172,324 685
Total current liabilities,5 447,26 319,44 442,19 688
Total non current liabilities,(9 612),18 779,13 496,15 608
Community wealth/Equity,110 201,343 357,288 720,333 937

Net cash from (used) operating,12 589,11 199,34 528,15 443
Net cash from (used) investing,(14 094),(29 559),(9 994),(29 919)
Net cash from (used) financing,(475),(488),(4 288),-
Cash/cash equivalents at the year end,60,2 156,20 856,2 166

Unauthorised expenditure,n/a,6 106,23 215,9 925
Irregular expenditure,n/a,5 297,5 124,2 329
Fruitless & wasteful expenditure,n/a,38,100,755
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),42 570,31 766,31 981,27 214,18 874
Remuneration of councillors (R000),3 993,3 759,3 202,2 994,2 847

Total Employee Positions,144,165,178,159,138
Total Vacant Employee Positions,5,24,30,34,15
Total Vacancy Percentage,3.47%,14.55%,16.85%,21.38%,10.87%

Managerial Positions - S57,4,5,5,5,6
Vacant Managerial Positions - S57,1,2,3,1,3
Managerial Positions - by organogram,14,14,7,8,6
Vacant Managerial Positions - by organogram,4,7,0,0,2
Community And Social Service Positions,4,13,0,4,53
Vacant Community And Social Service Positions,0,9,0,0,0
Finance And Administration Positions,47,59,71,74,58
Vacant Finance And Administration Positions,0,2,23,30,9
Electricity Positions,5,5,1,4,4
Vacant Electricity Positions,0,1,1,1,1
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,13,16,0,5,5
Vacant Public Safety Positions,0,2,0,0,0
Road Transport Positions,1,2,32,6,6
Vacant Road Transport Positions,0,1,3,2,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,56,51,62,53,0
Vacant Waste Management Positions,0,0,0,0,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,0,0,0,0,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,3 994,3 496,3 496,3 433,3 433
Domestic households with access to free basic service,3 055,2 332,2 063,1 045,1 045

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,4 300,3 994,3 669,3 669,3 669
Domestic households with access to free basic service,319,181,150,0,0
