All values: R'000,2016/17,2015/16,2014/15,2013/14


152 159,151 587

Population under 15,40.2%,36.2%
Population 15 to 64,52.3%,53.7%
Population over 65,7.4%,10.1%

 Per 100 (15-64),91.1,86.1

Males per 100 females,93.3,89.8

Per annum,0.09%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,12.4%,13.7%
Matric,15.9%,9.9%
Higher education,4.5%,5.0%

Households,35 851,41 979
Average household size,4.2,3.5
Female headed households,53.9%,54.5%
Formal dwellings,27.4%,33.7%
Housing owned,92.1%,71.8%

Flush toilet connected to sewerage,0.8%,2.2%
Weekly refuse removal,0.5%,2.8%
Piped water inside dwelling,2.4%,2.4%
Electricity for lighting,86.6%,64.2%

n/a,Financially unqualified with findings,Financially unqualified with findings,Qualified audit opinion

Property rates,n/a,3 309,3 327,3 181
Service charges,n/a,597,588,6 294
Investment revenue,n/a,2 694,2 193,1 856
Transfers recognised - operational,n/a,171 952,122 680,192 520
Other own revenue,n/a,5 772,7 425,4 017
Total Revenue (excluding capital transfers and contributions),n/a,184 324,136 213,207 869
Employee costs,n/a,86 719,78 300,91 744
Remuneration of councillors,n/a,13 800,13 028,9 608
Depreciation & asset impairment,n/a,30 815,30 070,32 857
Finance charges,n/a,510,538,-
Materials and bulk purchases,n/a,-,-,6 665
Transfers and grants,n/a,-,301,-
Other expenditure,n/a,46 191,61 561,58 636
Total Expenditure,n/a,178 035,183 798,199 509
Surplus/(Deficit),n/a,6 289,(47 584),8 360
Transfers recognised - capital,n/a,43 362,44 830,-
Contributions recognised - capital & contributed assets,n/a,-,-,-
Surplus/(Deficit) after capital transfers & contributions,n/a,49 651,(2 755),8 360
Share of surplus/(deficit) of associate,n/a,-,-,-
Surplus/(Deficit) for the year,n/a,49 651,(2 755),8 360

Capital expenditure,23 382,233 588,66 712,-
Transfers recognised - capital,23 382,233 588,66 552,-
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,-,-,160,-
Total sources of capital funds,23 382,233 588,66 712,-

Total current assets,88 334,65 228,62 440,79 709
Total non current assets,570 696,568 522,523 341,510 717
Total current liabilities,36 882,35 121,41 872,43 778
Total non current liabilities,7 193,7 193,7 646,7 972
Community wealth/Equity,614 954,591 436,536 264,538 676

Net cash from (used) operating,(8 604),66 243,38 222,360 513
Net cash from (used) investing,-,(64 284),(51 214),47 221
Net cash from (used) financing,-,(823),(822),-
Cash/cash equivalents at the year end,-,2 838,1 690,415 743

Unauthorised expenditure,n/a,19 568,19 568,47 612
Irregular expenditure,n/a,64 619,55 795,18 163
Fruitless & wasteful expenditure,n/a,100,173,197
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),86 719,78 300,91 744,75 975,41 490
Remuneration of councillors (R000),13 800,13 028,9 608,9 159,10 877

Total Employee Positions,401,481,457,504,459
Total Vacant Employee Positions,76,123,103,82,139
Total Vacancy Percentage,18.95%,25.57%,22.54%,16.27%,30.28%

Managerial Positions - S57,6,6,6,6,6
Vacant Managerial Positions - S57,0,0,1,0,0
Managerial Positions - by organogram,35,37,13,13,13
Vacant Managerial Positions - by organogram,9,9,0,0,0
Community And Social Service Positions,72,36,110,92,107
Vacant Community And Social Service Positions,0,13,2,5,6
Finance And Administration Positions,166,176,152,139,197
Vacant Finance And Administration Positions,26,47,47,19,101
Electricity Positions,5,7,3,21,0
Vacant Electricity Positions,0,2,2,6,0
Enviromental Protection Positions,2,7,0,19,0
Vacant Enviromental Protection Positions,0,1,0,3,0
Health Positions,0,0,5,0,0
Vacant Health Positions,0,0,4,0,0
Public Safety Positions,37,54,16,16,0
Vacant Public Safety Positions,20,9,3,5,0
Road Transport Positions,53,52,69,49,0
Vacant Road Transport Positions,7,8,19,10,0
Sport And Recreation Positions,0,0,29,6,0
Vacant Sport And Recreation Positions,0,0,2,1,0
Waste Management Positions,25,30,34,68,0
Vacant Waste Management Positions,14,14,11,6,0
Waste Water Management Positions,0,0,0,19,0
Vacant Waste Water Management Positions,0,0,0,6,0
Water Positions,0,0,0,22,72
Vacant Water Positions,0,0,0,7,19
Other Positions,0,76,20,34,64
Vacant Other Positions,0,20,12,14,13


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,29 884,27 478,27 478
Number of domestic households/delivery points,0,0,29 884,27 478,27 478
Inside the yard,0,0,5 570,3 836,3 836
Less than 200m from yard,0,0,20 139,16 728,16 728
More than 200m from yard,0,0,4 175,6 914,6 914
Domestic households with access to free basic service,0,0,7 742,7 765,5 857

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,29 305,26 805,25 988,20 988,18 183
Domestic households with access to free basic service,6 666,6 189,6 000,5 857,3 879

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,25 631,25 430,25 430
Number of households using
