All values: R'000,2016/17,2015/16,2014/15,2013/14


70 493,65 560

Population under 15,34.5%,29.1%
Population 15 to 64,61.1%,64.6%
Population over 65,4.4%,6.2%

 Per 100 (15-64),63.7,54.7

Males per 100 females,90.2,93.5

Per annum,1.65%,n/a

Unemployment rate (official),n/a,25.7%
Youth unemployment rate (official) 15-34,n/a,33.2%

No schooling,6.2%,10.7%
Matric,25.0%,20.0%
Higher education,6.3%,8.8%

Households,18 282,18 463
Average household size,3.9,3.4
Female headed households,42.3%,40.9%
Formal dwellings,98.4%,97.0%
Housing owned,50.3%,46.7%

Flush toilet connected to sewerage,90.3%,87.3%
Weekly refuse removal,74.1%,83.2%
Piped water inside dwelling,61.1%,68.2%
Electricity for lighting,96.0%,95.6%

n/a,Disclaimer of audit opinion,Disclaimer of audit opinion,Disclaimer of audit opinion

Property rates,36 237,33 000,-,21 903
Service charges,142 059,96 653,134 266,127 948
Investment revenue,233,7 234,-,6 532
Transfers recognised - operational,68 381,45 017,49 887,53 072
Other own revenue,12 926,7 583,17 187,6 373
Total Revenue (excluding capital transfers and contributions),259 837,189 487,201 340,215 829
Employee costs,74 588,71 986,65 304,67 561
Remuneration of councillors,6 751,6 878,6 548,6 294
Depreciation & asset impairment,-,60 402,30 989,2 239
Finance charges,678,-,2 251,-
Materials and bulk purchases,70 233,66 268,61 333,49 495
Transfers and grants,-,-,-,31 170
Other expenditure,52 527,49 062,71 731,99 315
Total Expenditure,204 777,254 597,238 157,256 074
Surplus/(Deficit),55 060,(65 110),(36 816),(40 245)
Transfers recognised - capital,1 864,23 580,40 753,1 863
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,56 924,(41 530),3 937,(38 382)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,56 924,(41 530),3 937,(38 382)

Capital expenditure,16 190,25 379,0,136 916
Transfers recognised - capital,16 190,24 253,0,16 855
Public contributions & donations,-,1 126,-,120 052
Borrowing,-,-,-,9
Internally generated funds,-,-,-,-
Total sources of capital funds,16 190,25 379,0,136 916

Total current assets,211 378,21 809,57 403,689
Total non current assets,596 499,622 413,693 985,663 476
Total current liabilities,108 746,92 655,168 151,59 458
Total non current liabilities,37 629,37 958,260,40 423
Community wealth/Equity,661 501,513 609,582 977,564 284

Net cash from (used) operating,(37 694),27 083,1 084,(39 125)
Net cash from (used) investing,2 314,(25 253),-,(39 370)
Net cash from (used) financing,1 050,(2 897),(429),(946)
Cash/cash equivalents at the year end,(34 331),3 151,26 287,(84 124)

Unauthorised expenditure,n/a,22 901,19 078,-
Irregular expenditure,n/a,22 049,1 325,18 772
Fruitless & wasteful expenditure,n/a,2 140,1 093,281
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),71 986,65 304,67 561,59 363,53 285
Remuneration of councillors (R000),6 878,6 548,6 294,-,5 464

Total Employee Positions,415,435,460,574,430
Total Vacant Employee Positions,81,90,101,0,47
Total Vacancy Percentage,19.52%,20.69%,21.96%,0.00%,10.93%

Managerial Positions - S57,6,7,6,6,6
Vacant Managerial Positions - S57,0,0,0,0,0
Managerial Positions - by organogram,14,14,14,14,14
Vacant Managerial Positions - by organogram,0,0,0,0,0
Community And Social Service Positions,66,189,143,46,174
Vacant Community And Social Service Positions,11,58,35,0,8
Finance And Administration Positions,120,103,83,113,112
Vacant Finance And Administration Positions,14,11,15,0,20
Electricity Positions,30,28,39,22,0
Vacant Electricity Positions,8,4,6,0,0
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,8,0,10,10,0
Vacant Public Safety Positions,1,0,0,0,0
Road Transport Positions,51,47,0,68,124
Vacant Road Transport Positions,13,11,0,0,19
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,89,0,76,50,0
Vacant Waste Management Positions,32,0,24,0,0
Waste Water Management Positions,0,0,46,31,0
Vacant Waste Water Management Positions,0,0,13,0,0
Water Positions,0,0,43,83,0
Vacant Water Positions,0,0,8,0,0
Other Positions,31,47,0,131,0
Vacant Other Positions,2,6,0,0,0


Blue Drop Score,n/a,n/a,0.00,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,16 379,16 045,15 611
Number of domestic households/delivery points,0,0,15 925,15 591,15 099
Inside the yard,0,0,15 925,15 485,14 993
Less than 200m from yard,0,0,0,85,85
More than 200m from yard,0,0,0,21,21
Domestic households with access to free basic service,0,0,11 588,11 088,11 088

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,20 690,15 811,15 811,15 811,11 088
Domestic households with access to free basic service,9 360,9 360,8 823,8 800,11 088

Green Drop Score,n/a,n/a,0,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,15 561,15 561,15 175
Number of households using
Flush toilet - public sewerage,0,0,14 789,14 789,14 403
