All values: R'000,2016/17,2015/16,2014/15,2013/14


372 912,348 667

Population under 15,36.8%,34.1%
Population 15 to 64,58.2%,58.4%
Population over 65,5.0%,7.5%

 Per 100 (15-64),71.7,71.3

Males per 100 females,89.8,89.8

Per annum,1.53%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,8.0%,14.5%
Matric,19.5%,14.1%
Higher education,5.8%,5.9%

Households,95 107,97 470
Average household size,3.9,3.4
Female headed households,46.9%,49.3%
Formal dwellings,69.6%,60.4%
Housing owned,71.7%,61.3%

Flush toilet connected to sewerage,28.2%,23.9%
Weekly refuse removal,34.1%,28.1%
Piped water inside dwelling,19.2%,17.6%
Electricity for lighting,80.0%,69.1%

n/a,Clean audit outcome,Clean audit outcome,Financially unqualified with findings

Property rates,-,(28 871),-,-
Service charges,65 479,131 912,83 995,42 114
Investment revenue,3 079,4 300,3 901,3 240
Transfers recognised - operational,299 715,325 216,311 553,317 699
Other own revenue,12 921,18 238,12 548,15 127
Total Revenue (excluding capital transfers and contributions),381 194,450 795,411 997,378 180
Employee costs,179 735,163 740,153 126,484 425
Remuneration of councillors,5 231,5 310,5 266,5 024
Depreciation & asset impairment,25 253,46 199,44 240,42 311
Finance charges,1 235,5 735,5 002,3 968
Materials and bulk purchases,4 707,989,3 004,2 474
Transfers and grants,69,5 000,2 445,116 303
Other expenditure,168 169,257 651,275 505,220 496
Total Expenditure,384 399,484 625,488 587,875 001
Surplus/(Deficit),(3 205),(33 829),(76 590),(496 821)
Transfers recognised - capital,232 831,203 357,129 947,106 144
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,229 626,169 528,53 357,(390 677)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,229 626,169 528,53 357,(390 677)

Capital expenditure,191 947,179 638,126 818,99 965
Transfers recognised - capital,185 934,179 167,124 250,99 575
Public contributions & donations,1 318,240,-,-
Borrowing,1 757,-,-,-
Internally generated funds,2 938,231,2 568,390
Total sources of capital funds,191 947,179 638,126 818,99 965

Total current assets,307 064,96 870,82 985,69 378
Total non current assets,1 624 071,1 499 345,1 366 838,1 288 280
Total current liabilities,454 176,107 973,129 448,118 106
Total non current liabilities,37 072,47 830,47 284,34 115
Community wealth/Equity,1 439 888,1 440 412,1 273 091,1 205 438

Net cash from (used) operating,140 758,151 459,117 834,114 465
Net cash from (used) investing,(143 350),(179 638),(127 026),(100 307)
Net cash from (used) financing,(339),(3 191),4 761,219
Cash/cash equivalents at the year end,2 399,2 422,33 792,38 223

Unauthorised expenditure,n/a,-,-,-
Irregular expenditure,n/a,2,778,364
Fruitless & wasteful expenditure,n/a,30,184,530
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),163 740,153 126,484 425,107 477,79 276
Remuneration of councillors (R000),5 310,5 266,5 024,4 264,4 086

Total Employee Positions,813,701,515,531,433
Total Vacant Employee Positions,177,1,29,1,2
Total Vacancy Percentage,21.77%,0.14%,5.63%,0.19%,0.46%

Managerial Positions - S57,6,6,6,6,5
Vacant Managerial Positions - S57,0,1,0,1,0
Managerial Positions - by organogram,19,23,20,22,22
Vacant Managerial Positions - by organogram,4,0,4,0,1
Community And Social Service Positions,22,70,22,43,12
Vacant Community And Social Service Positions,2,0,0,0,0
Finance And Administration Positions,102,122,76,110,67
Vacant Finance And Administration Positions,35,0,0,0,0
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,22,18,19
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,59,0,29,26,26
Vacant Public Safety Positions,6,0,0,0,1
Road Transport Positions,0,124,142,92,155
Vacant Road Transport Positions,0,0,25,0,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,0,0,0,0,0
Vacant Waste Management Positions,0,0,0,0,0
Waste Water Management Positions,204,135,135,126,0
Vacant Waste Water Management Positions,56,0,0,0,0
Water Positions,401,63,63,70,127
Vacant Water Positions,74,0,0,0,0
Other Positions,0,158,0,18,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,74.69,n/a,85.18
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,73 742,73 673,70 767,67 806,66 425
Number of domestic households/delivery points,73 257,73 088,70 182,67 221,66 425
Inside the yard,41 774,41 678,41 297,40 518,31 915
Less than 200m from yard,31 483,31 410,18 745,18 957,22 483
More than 200m from yard,0,0,10 140,7 746,12 027
Domestic households with access to free basic service,14 176,11 178,0,0,0

Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,0,0,0,4 023,4 023
Domestic households with access to free basic service,0,0,0,0,0

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,83 014,75 381,74 397,48 413,30 301
Number of households using
Flush toilet - public sewerage,23 699,23 523,23 009,22 807,16 661
Flush toilet - septic tank,2 914,2 906,2 880,2 855,3 072
Ventilated pit latrine,55 943,48 467,46 294,20 537,10 568
Bucket system,0,0,1 729,1 729,0
