All values: R'000,2016/17,2015/16,2014/15,2013/14


488 349,450 287

Population under 15,34.2%,35.0%
Population 15 to 64,61.8%,60.0%
Population over 65,4.0%,5.1%

 Per 100 (15-64),61.8,66.8

Males per 100 females,87.0,85.3

Per annum,1.84%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,15.7%,13.5%
Matric,22.0%,18.4%
Higher education,9.5%,10.2%

Households,115 894,104 878
Average household size,4.2,4.0
Female headed households,55.9%,57.3%
Formal dwellings,51.8%,60.2%
Housing owned,65.4%,55.6%

Flush toilet connected to sewerage,23.5%,26.2%
Weekly refuse removal,21.5%,24.7%
Piped water inside dwelling,15.8%,19.1%
Electricity for lighting,84.4%,73.3%

n/a,Qualified audit opinion,Qualified audit opinion,Qualified audit opinion

Property rates,190 959,180 579,166 333,151 866
Service charges,356 392,316 132,266 762,254 099
Investment revenue,1 834,3 341,4 408,25 973
Transfers recognised - operational,278 106,264 689,223 018,208 691
Other own revenue,75 266,215 869,252 182,48 798
Total Revenue (excluding capital transfers and contributions),902 558,980 610,912 702,689 427
Employee costs,351 963,328 907,310 827,262 588
Remuneration of councillors,23 796,22 687,20 854,21 463
Depreciation & asset impairment,27 549,165 781,294 620,338 352
Finance charges,2 612,14 182,16 290,5 332
Materials and bulk purchases,250 067,227 139,185 321,200 146
Transfers and grants,43 650,37 943,29 614,34 960
Other expenditure,221 357,214 944,200 953,192 339
Total Expenditure,920 994,1 011 583,1 058 479,1 055 181
Surplus/(Deficit),(18 436),(30 973),(145 776),(365 754)
Transfers recognised - capital,202 465,204 073,164 242,178 365
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,184 029,173 100,18 465,(187 389)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,184 029,173 100,18 465,(187 389)

Capital expenditure,180 980,332 043,158 417,219 208
Transfers recognised - capital,180 724,306 704,151 126,49 274
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,256,25 339,7 291,169 935
Total sources of capital funds,180 980,332 043,158 417,219 208

Total current assets,664 506,81 827,137 771,200 829
Total non current assets,2 724 042,2 565 553,2 423 101,2 463 773
Total current liabilities,879 701,306 918,287 737,420 473
Total non current liabilities,57 669,69 627,86 249,186 809
Community wealth/Equity,2 451 179,2 270 835,2 186 886,2 057 319

Net cash from (used) operating,(464 053),212 954,79 874,199 561
Net cash from (used) investing,464 718,(216 767),(160 374),(205 329)
Net cash from (used) financing,(1 657),(24 157),(7 784),(104 685)
Cash/cash equivalents at the year end,5 215,12 216,40 262,127 660

Unauthorised expenditure,n/a,12 776,142 726,354 400
Irregular expenditure,n/a,101 521,132 203,367 085
Fruitless & wasteful expenditure,n/a,5 283,4 790,7 229
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),328 907,310 827,262 588,244 016,225 248
Remuneration of councillors (R000),22 687,20 854,21 463,19 036,17 521

Total Employee Positions,2 173,1 994,2 463,2 355,849
Total Vacant Employee Positions,802,600,1 163,1 241,106
Total Vacancy Percentage,36.91%,30.09%,47.22%,52.70%,12.49%

Managerial Positions - S57,8,7,6,6,8
Vacant Managerial Positions - S57,0,0,0,0,1
Managerial Positions - by organogram,29,29,29,11,9
Vacant Managerial Positions - by organogram,0,0,18,2,0
Community And Social Service Positions,113,235,548,561,124
Vacant Community And Social Service Positions,13,30,149,272,11
Finance And Administration Positions,344,603,344,591,198
Vacant Finance And Administration Positions,197,221,221,405,36
Electricity Positions,262,56,62,0,62
Vacant Electricity Positions,39,6,6,0,6
Enviromental Protection Positions,8,10,13,0,8
Vacant Enviromental Protection Positions,2,2,8,0,3
Health Positions,0,0,0,0,44
Vacant Health Positions,0,0,0,0,8
Public Safety Positions,606,321,606,606,258
Vacant Public Safety Positions,248,102,271,328,23
Road Transport Positions,194,370,200,0,37
Vacant Road Transport Positions,52,120,108,0,1
Sport And Recreation Positions,148,0,31,0,0
Vacant Sport And Recreation Positions,103,0,19,0,0
Waste Management Positions,461,363,260,170,101
Vacant Waste Management Positions,148,119,89,0,17
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,0,0,364,410,0
Vacant Other Positions,0,0,274,234,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,54 000,53 362,51 000,50 134,48 000
Domestic households with access to free basic service,16 637,9 040,10 128,8 200,7 511

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

