All values: R'000,2016/17,2015/16,2014/15,2013/14


43 688,40 663

Population under 15,33.0%,29.7%
Population 15 to 64,63.0%,65.7%
Population over 65,4.0%,4.5%

 Per 100 (15-64),58.8,52.1

Males per 100 females,101.0,100.7

Per annum,1.63%,n/a

Unemployment rate (official),n/a,15.0%
Youth unemployment rate (official) 15-34,n/a,17.5%

No schooling,2.2%,5.3%
Matric,22.4%,17.6%
Higher education,6.0%,3.9%

Households,11 583,11 032
Average household size,3.8,3.6
Female headed households,33.9%,31.2%
Formal dwellings,93.4%,90.6%
Housing owned,52.7%,46.8%

Flush toilet connected to sewerage,81.6%,68.0%
Weekly refuse removal,79.0%,64.2%
Piped water inside dwelling,77.9%,68.2%
Electricity for lighting,94.5%,87.1%

n/a,Financially unqualified with findings,Financially unqualified with findings,Qualified audit opinion

Property rates,16 256,16 037,15 488,13 285
Service charges,26 373,25 770,23 169,21 978
Investment revenue,475,206,297,710
Transfers recognised - operational,63 209,44 193,56 428,68 231
Other own revenue,19 769,14 745,9 258,3 351
Total Revenue (excluding capital transfers and contributions),126 083,100 950,104 640,107 556
Employee costs,40 390,39 821,39 116,33 451
Remuneration of councillors,2 986,3 000,2 901,2 768
Depreciation & asset impairment,20 565,21 858,16 883,18 907
Finance charges,992,995,650,346
Materials and bulk purchases,4 932,3 199,2 674,3 897
Transfers and grants,16 094,15 846,25 094,45 061
Other expenditure,16 616,42 567,41 536,29 950
Total Expenditure,102 575,127 286,128 853,134 379
Surplus/(Deficit),23 508,(26 336),(24 213),(26 824)
Transfers recognised - capital,-,22 201,24 856,28 271
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,23 508,(4 135),643,1 448
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,23 508,(4 135),643,1 448

Capital expenditure,19 304,17 541,26 032,25 117
Transfers recognised - capital,19 208,17 312,25 573,24 843
Public contributions & donations,-,-,347,-
Borrowing,-,-,-,-
Internally generated funds,96,230,113,273
Total sources of capital funds,19 304,17 541,26 032,25 117

Total current assets,(3 073),27 763,21 223,25 812
Total non current assets,(1 662),324 032,327 159,322 607
Total current liabilities,8 971,42 780,36 645,31 598
Total non current liabilities,-,3 897,4 026,3 261
Community wealth/Equity,(13 706),305 118,307 711,313 561

Net cash from (used) operating,12 843,16 371,15 995,27 509
Net cash from (used) investing,(15 836),(17 435),(24 117),(24 791)
Net cash from (used) financing,3 836,1 900,-,-
Cash/cash equivalents at the year end,955,1 002,166,8 288

Unauthorised expenditure,n/a,-,8 883,16 215
Irregular expenditure,n/a,436,7 646,29 801
Fruitless & wasteful expenditure,n/a,940,561,602
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),39 821,39 116,33 451,30 799,26 994
Remuneration of councillors (R000),3 000,2 901,2 768,2 539,2 289

Total Employee Positions,152,207,209,173,176
Total Vacant Employee Positions,1,29,3,16,8
Total Vacancy Percentage,0.66%,14.01%,1.44%,9.25%,4.55%

Managerial Positions - S57,6,6,7,6,5
Vacant Managerial Positions - S57,1,0,1,0,0
Managerial Positions - by organogram,10,10,10,8,7
Vacant Managerial Positions - by organogram,0,0,2,5,0
Community And Social Service Positions,43,5,42,22,31
Vacant Community And Social Service Positions,0,0,0,0,0
Finance And Administration Positions,35,77,55,63,57
Vacant Finance And Administration Positions,0,9,0,9,6
Electricity Positions,1,2,0,2,2
Vacant Electricity Positions,0,1,0,0,0
Enviromental Protection Positions,2,2,2,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,9,11,11,13,15
Vacant Public Safety Positions,0,1,0,2,2
Road Transport Positions,3,10,3,0,6
Vacant Road Transport Positions,0,2,0,0,0
Sport And Recreation Positions,0,12,0,7,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,7,27,17,12,7
Vacant Waste Management Positions,0,8,0,0,0
Waste Water Management Positions,24,16,6,7,34
Vacant Waste Water Management Positions,0,6,0,0,0
Water Positions,12,24,12,14,12
Vacant Water Positions,0,2,0,0,0
Other Positions,0,5,44,19,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,25.77,n/a,5.60
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,10 893,10 893,10 472,9 619,8 306
Number of domestic households/delivery points,10 765,10 765,10 258,9 469,8 156
Inside the yard,10 124,10 124,9 617,8 942,7 756
Less than 200m from yard,505,505,505,527,400
More than 200m from yard,136,136,136,0,0
Domestic households with access to free basic service,2 064,2 064,2 051,2 307,2 422

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,12 320,12 300,12 300,12 300,7 906
Domestic households with access to free basic service,2 345,2 345,2 310,2 307,2 422

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,9 302,9 302,9 292,7 675,5 971
Number of households using
Flush toilet - public sewerage,7 505,7 505,7 505,5 487,5 487
Flush toilet - septic tank,914,914,813,1 247,0
Ventilated pit latrine,416,416,416,557,400
Bucket system,339,339,339,300,0
Other,0,0,91,0,0
Domestic households with access to free basic service,2 064,2 064,2 134,2 307,2 422

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,6 764,6 764,6 638,6 638,6 638
Domestic households with access to free basic service,2 064,2 236,2 310,2 307,2 422
