All values: R'000,2016/17,2015/16,2014/15,2013/14


219 447,203 843

Population under 15,37.4%,38.4%
Population 15 to 64,56.1%,54.6%
Population over 65,6.5%,6.9%

 Per 100 (15-64),78.3,83.0

Males per 100 females,84.2,85.0

Per annum,1.68%,n/a

Unemployment rate (official),n/a,38.7%
Youth unemployment rate (official) 15-34,n/a,47.2%

No schooling,6.3%,9.4%
Matric,18.2%,12.7%
Higher education,6.1%,5.8%

Households,56 868,49 527
Average household size,3.9,3.7
Female headed households,52.9%,55.3%
Formal dwellings,47.3%,49.7%
Housing owned,78.6%,55.3%

Flush toilet connected to sewerage,9.0%,10.4%
Weekly refuse removal,12.5%,10.9%
Piped water inside dwelling,5.8%,12.2%
Electricity for lighting,58.2%,44.9%

n/a,Clean audit outcome,Clean audit outcome,Financially unqualified with findings

Property rates,32 118,24 194,19 112,22 600
Service charges,55 011,54 645,44 702,42 362
Investment revenue,9 028,4 279,3 607,5 414
Transfers recognised - operational,177 323,182 560,149 581,138 192
Other own revenue,21 678,12 695,10 113,25 466
Total Revenue (excluding capital transfers and contributions),295 159,278 373,227 116,234 035
Employee costs,82 220,80 676,75 879,69 115
Remuneration of councillors,17 398,16 875,15 937,14 807
Depreciation & asset impairment,843,22 850,20 919,19 062
Finance charges,0,5,15,2
Materials and bulk purchases,45 482,34 111,41 516,26 147
Transfers and grants,20 107,18 517,23 564,32 778
Other expenditure,80 261,87 797,60 101,87 578
Total Expenditure,246 311,260 831,237 930,249 489
Surplus/(Deficit),48 849,17 542,(10 815),(15 454)
Transfers recognised - capital,115 130,82 226,71 980,60 419
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,163 979,99 769,61 165,44 965
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,163 979,99 769,61 165,44 965

Capital expenditure,133 961,101 503,104 248,89 688
Transfers recognised - capital,109 902,101 503,103 617,89 688
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,24 059,-,631,-
Total sources of capital funds,133 961,101 503,104 248,89 688

Total current assets,128 582,92 612,70 625,80 321
Total non current assets,845 198,704 315,623 616,543 089
Total current liabilities,42 602,35 273,35 681,27 835
Total non current liabilities,24 554,24 442,21 063,19 144
Community wealth/Equity,906 623,737 211,637 497,576 430

Net cash from (used) operating,8 124,119 092,77 163,62 470
Net cash from (used) investing,15 322,(101 169),(104 243),(82 140)
Net cash from (used) financing,-,-,-,2
Cash/cash equivalents at the year end,71 857,48 411,30 487,57 566

Unauthorised expenditure,n/a,-,-,9 680
Irregular expenditure,n/a,-,3 270,7 490
Fruitless & wasteful expenditure,n/a,5,15,2
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),80 676,75 879,69 115,57 560,46 608
Remuneration of councillors (R000),16 875,15 937,14 807,13 900,13 276

Total Employee Positions,251,285,345,425,372
Total Vacant Employee Positions,13,22,35,22,92
Total Vacancy Percentage,5.18%,7.72%,10.14%,5.18%,24.73%

Managerial Positions - S57,8,6,6,6,5
Vacant Managerial Positions - S57,2,1,0,0,0
Managerial Positions - by organogram,18,20,22,16,18
Vacant Managerial Positions - by organogram,4,0,2,2,3
Community And Social Service Positions,0,8,6,156,25
Vacant Community And Social Service Positions,0,0,0,5,6
Finance And Administration Positions,71,79,142,82,171
Vacant Finance And Administration Positions,0,12,17,14,62
Electricity Positions,17,17,16,13,16
Vacant Electricity Positions,2,1,0,1,3
Enviromental Protection Positions,2,4,3,38,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,44,44,46,22,19
Vacant Public Safety Positions,4,4,6,0,6
Road Transport Positions,0,0,0,0,98
Vacant Road Transport Positions,0,0,0,0,12
Sport And Recreation Positions,4,4,4,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,7,11,17,92,20
Vacant Waste Management Positions,1,1,6,0,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,80,92,83,0,0
Vacant Other Positions,0,3,4,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,No,No,No
Number of households and non-domestic customers to which provided,31 084,31 084,25 901,25 901,25 792
Domestic households with access to free basic service,4 323,4 315,3 565,10 184,6 000

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,4 882,4 882,4 889,4 844,4 395
Domestic households with access to free basic service,1 104,1 050,1 176,1 198,3 303
