All values: R'000,2016/17,2015/16,2014/15,2013/14


277 250,261 773

Population under 15,35.8%,38.0%
Population 15 to 64,59.0%,53.8%
Population over 65,5.2%,8.2%

 Per 100 (15-64),69.6,85.8

Males per 100 females,86.3,85.0

Per annum,1.31%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,15.6%,21.0%
Matric,13.7%,10.0%
Higher education,4.5%,4.8%

Households,58 727,61 924
Average household size,4.7,4.0
Female headed households,57.1%,58.3%
Formal dwellings,41.1%,30.6%
Housing owned,68.3%,73.3%

Flush toilet connected to sewerage,3.0%,3.7%
Weekly refuse removal,10.9%,3.0%
Piped water inside dwelling,3.3%,3.4%
Electricity for lighting,66.8%,48.9%

n/a,Financially unqualified with findings,Qualified audit opinion,Qualified audit opinion

Property rates,3 024,7 701,6 868,4 365
Service charges,356,1 323,1 024,765
Investment revenue,3 300,9 004,9 068,6 022
Transfers recognised - operational,213 117,197 686,169 880,161 824
Other own revenue,65 773,9 353,3 189,3 160
Total Revenue (excluding capital transfers and contributions),285 570,225 067,190 029,176 137
Employee costs,80 931,79 491,43 331,37 401
Remuneration of councillors,21 414,23 984,21 815,15 060
Depreciation & asset impairment,50 805,69 117,56 709,33 618
Finance charges,9,15 294,3 836,25
Materials and bulk purchases,-,-,-,-
Transfers and grants,-,-,-,-
Other expenditure,150 854,143 298,78 619,52 960
Total Expenditure,304 013,331 184,204 310,139 065
Surplus/(Deficit),(18 443),(106 117),(14 280),37 073
Transfers recognised - capital,82 745,92 312,50 640,21 545
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,64 302,(13 806),36 360,58 618
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,64 302,(13 806),36 360,58 618

Capital expenditure,118 021,121 257,85 658,37 187
Transfers recognised - capital,118 021,121 257,85 658,26 496
Public contributions & donations,-,-,-,10 691
Borrowing,-,-,-,-
Internally generated funds,-,-,-,-
Total sources of capital funds,118 021,121 257,85 658,37 187

Total current assets,13 854,85 586,157 890,117 375
Total non current assets,61 468,572 325,526 020,294 295
Total current liabilities,85 677,45 226,40 839,32 529
Total non current liabilities,-,23 032,29 208,4 258
Community wealth/Equity,(10 355),589 654,613 863,374 883

Net cash from (used) operating,58 737,33 880,94 548,73 812
Net cash from (used) investing,(116 590),(121 629),(51 256),(39 252)
Net cash from (used) financing,-,9 087,(9 630),(0)
Cash/cash equivalents at the year end,(57 853),66 371,145 034,34 561

Unauthorised expenditure,n/a,30 917,20 518,2 014
Irregular expenditure,n/a,230 843,3 293,21 050
Fruitless & wasteful expenditure,n/a,131,250,462
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),79 491,43 331,37 401,37 033,38 264
Remuneration of councillors (R000),23 984,21 815,15 060,17 907,15 745

Total Employee Positions,229,245,269,212,196
Total Vacant Employee Positions,26,84,74,60,31
Total Vacancy Percentage,11.35%,34.29%,27.51%,28.30%,15.82%

Managerial Positions - S57,6,5,3,3,5
Vacant Managerial Positions - S57,0,0,0,0,3
Managerial Positions - by organogram,10,9,6,6,8
Vacant Managerial Positions - by organogram,1,4,1,0,3
Community And Social Service Positions,5,53,81,71,80
Vacant Community And Social Service Positions,1,27,6,8,17
Finance And Administration Positions,46,38,28,45,62
Vacant Finance And Administration Positions,2,10,0,15,8
Electricity Positions,3,3,3,1,1
Vacant Electricity Positions,1,2,2,1,0
Enviromental Protection Positions,0,1,0,0,0
Vacant Enviromental Protection Positions,0,1,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,38,31,36,17,17
Vacant Public Safety Positions,3,10,12,2,0
Road Transport Positions,44,44,30,26,23
Vacant Road Transport Positions,6,30,14,11,0
Sport And Recreation Positions,0,0,39,0,0
Vacant Sport And Recreation Positions,0,0,18,0,0
Waste Management Positions,55,0,30,30,0
Vacant Waste Management Positions,10,0,20,20,0
Waste Water Management Positions,0,61,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,22,0,13,13,0
Vacant Other Positions,2,0,1,3,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,No
Does the municipality actually provide?,Yes,Yes,Yes,Yes,No
Is the service outsourced/commercialised?,Yes,No,No,No,No
Number of households and non-domestic customers to which provided,40 455,40 101,39 601,29 863,28 680
Domestic households with access to free basic service,2 864,4 119,4 108,4 122,2 253

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,22 199,2 199,2 199,2 199,2 199
Domestic households with access to free basic service,20 000,2 199,2 199,2 199,2 199
