All values: R'000,2016/17,2015/16,2014/15,2013/14


319 948,281 905

Population under 15,43.2%,44.2%
Population 15 to 64,52.0%,50.6%
Population over 65,4.8%,5.2%

 Per 100 (15-64),92.5,97.5

Males per 100 females,83.7,83.6

Per annum,2.88%,n/a

Unemployment rate (official),n/a,43.6%
Youth unemployment rate (official) 15-34,n/a,52.4%

No schooling,12.4%,19.4%
Matric,16.1%,13.0%
Higher education,5.3%,5.1%

Households,61 383,48 447
Average household size,5.2,5.0
Female headed households,60.2%,61.7%
Formal dwellings,40.5%,43.7%
Housing owned,83.1%,60.4%

Flush toilet connected to sewerage,0.6%,1.1%
Weekly refuse removal,1.4%,2.0%
Piped water inside dwelling,0.6%,2.3%
Electricity for lighting,71.8%,60.0%

n/a,Financially unqualified with findings,Qualified audit opinion,Disclaimer of audit opinion

Property rates,20 256,16 511,15 554,9 975
Service charges,29 976,21 842,19 095,18 687
Investment revenue,7 716,6 028,7 619,5 718
Transfers recognised - operational,192 865,189 891,151 632,131 849
Other own revenue,8 810,8 233,5 730,5 396
Total Revenue (excluding capital transfers and contributions),259 623,242 504,199 630,171 625
Employee costs,79 390,71 790,59 589,51 290
Remuneration of councillors,19 649,18 956,17 895,16 338
Depreciation & asset impairment,31 765,37 992,37 647,19 047
Finance charges,1 294,547,456,431
Materials and bulk purchases,24 869,24 528,22 310,20 812
Transfers and grants,4 511,3 455,-,788
Other expenditure,85 707,179 819,90 181,80 590
Total Expenditure,247 184,337 088,228 079,189 296
Surplus/(Deficit),12 439,(94 583),(28 448),(17 671)
Transfers recognised - capital,58 391,69 511,67 644,62 052
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,70 830,(25 073),39 196,44 382
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,70 830,(25 073),39 196,44 382

Capital expenditure,75 876,99 518,119 121,34 650
Transfers recognised - capital,40 985,54 540,67 644,31 104
Public contributions & donations,-,-,-,-
Borrowing,29 655,17 067,8 983,-
Internally generated funds,5 236,27 911,42 493,3 546
Total sources of capital funds,75 876,99 518,119 121,34 650

Total current assets,105 021,142 054,122 538,147 899
Total non current assets,545 409,581 826,600 433,293 535
Total current liabilities,34 587,68 540,71 222,33 048
Total non current liabilities,3 774,20 325,4 301,5 592
Community wealth/Equity,612 069,635 015,647 449,402 795

Net cash from (used) operating,69 694,79 197,68 842,43 283
Net cash from (used) investing,(74 486),(99 535),(118 142),(34 650)
Net cash from (used) financing,15 399,31 417,8 983,-
Cash/cash equivalents at the year end,65 925,96 914,85 835,126 152

Unauthorised expenditure,n/a,113 992,1 240,742
Irregular expenditure,n/a,2 655,3 519,19 550
Fruitless & wasteful expenditure,n/a,134,111,431
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),71 790,59 589,51 290,44 883,31 570
Remuneration of councillors (R000),18 956,17 895,16 338,16 199,14 079

Total Employee Positions,249,273,385,205,269
Total Vacant Employee Positions,51,0,200,19,101
Total Vacancy Percentage,20.48%,0.00%,51.95%,9.27%,37.55%

Managerial Positions - S57,6,6,6,6,6
Vacant Managerial Positions - S57,1,0,0,0,2
Managerial Positions - by organogram,19,17,17,19,19
Vacant Managerial Positions - by organogram,1,0,0,0,5
Community And Social Service Positions,33,9,31,8,1
Vacant Community And Social Service Positions,8,0,30,8,0
Finance And Administration Positions,72,87,116,113,84
Vacant Finance And Administration Positions,19,0,18,11,22
Electricity Positions,10,6,8,6,7
Vacant Electricity Positions,3,0,4,0,5
Enviromental Protection Positions,7,1,2,0,0
Vacant Enviromental Protection Positions,1,0,1,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,26,29,20,0,51
Vacant Public Safety Positions,6,0,12,0,23
Road Transport Positions,18,1,17,9,29
Vacant Road Transport Positions,0,0,12,0,19
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,45,40,168,44,72
Vacant Waste Management Positions,8,0,123,0,25
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,13,77,0,0,0
Vacant Other Positions,4,0,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,9 195,9 105,8 990,8 627,8 627
Domestic households with access to free basic service,1 670,1 613,2 665,2 303,1 100

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,1 294,517,498,498,498
Domestic households with access to free basic service,0,0,0,0,0
