All values: R'000,2016/17,2015/16,2014/15,2013/14


189 176,190 751

Population under 15,38.8%,38.3%
Population 15 to 64,55.1%,54.4%
Population over 65,6.1%,7.2%

 Per 100 (15-64),81.6,83.7

Males per 100 females,88.7,86.7

Per annum,-0.19%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,11.5%,14.6%
Matric,14.8%,12.3%
Higher education,3.3%,4.7%

Households,41 395,44 080
Average household size,4.6,4.1
Female headed households,57.1%,56.9%
Formal dwellings,41.5%,34.3%
Housing owned,83.9%,54.3%

Flush toilet connected to sewerage,2.0%,2.9%
Weekly refuse removal,1.8%,4.7%
Piped water inside dwelling,1.0%,4.0%
Electricity for lighting,83.9%,72.4%

n/a,Financially unqualified with findings,Qualified audit opinion,Adverse audit opinion

Property rates,31 807,32 019,9 078,7 608
Service charges,1 166,1 158,573,568
Investment revenue,3 863,3 559,1 211,1 413
Transfers recognised - operational,167 312,182 184,138 046,126 675
Other own revenue,8 188,4 983,4 413,4 072
Total Revenue (excluding capital transfers and contributions),212 335,223 903,153 322,140 336
Employee costs,78 531,76 444,68 079,60 981
Remuneration of councillors,14 835,16 573,15 145,13 631
Depreciation & asset impairment,-,97 708,15 229,15 780
Finance charges,-,-,234,-
Materials and bulk purchases,-,-,1 881,-
Transfers and grants,-,-,-,-
Other expenditure,72 230,94 294,57 096,92 130
Total Expenditure,165 597,285 019,157 664,182 522
Surplus/(Deficit),46 739,(61 117),(4 342),(42 186)
Transfers recognised - capital,36 528,38 278,52 712,33 290
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,83 266,(22 839),48 370,(8 896)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,83 266,(22 839),48 370,(8 896)

Capital expenditure,64 892,48 910,46 792,41 796
Transfers recognised - capital,64 892,48 910,46 792,41 796
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,-,-,-,-
Total sources of capital funds,64 892,48 910,46 792,41 796

Total current assets,98 970,52 235,31 723,12 614
Total non current assets,713 587,657 292,187 245,154 920
Total current liabilities,22 717,20 949,20 764,27 564
Total non current liabilities,-,5 684,5 185,4 345
Community wealth/Equity,789 841,682 894,193 019,135 626

Net cash from (used) operating,65 296,58 571,59 792,10 710
Net cash from (used) investing,(63 229),(48 022),(46 790),(43 840)
Net cash from (used) financing,-,-,-,-
Cash/cash equivalents at the year end,5 426,25 926,15 377,2 009

Unauthorised expenditure,n/a,18 241,10 272,19 481
Irregular expenditure,n/a,51 874,1 062,113 570
Fruitless & wasteful expenditure,n/a,57,644,67
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),76 444,68 079,60 981,51 307,47 836
Remuneration of councillors (R000),16 573,15 145,13 631,13 316,-

Total Employee Positions,254,290,328,204,196
Total Vacant Employee Positions,83,92,105,14,2
Total Vacancy Percentage,32.68%,31.72%,32.01%,6.86%,1.02%

Managerial Positions - S57,7,7,7,7,6
Vacant Managerial Positions - S57,1,1,1,0,0
Managerial Positions - by organogram,16,12,15,15,7
Vacant Managerial Positions - by organogram,5,2,5,7,2
Community And Social Service Positions,104,113,79,60,26
Vacant Community And Social Service Positions,42,39,21,0,0
Finance And Administration Positions,65,60,146,82,80
Vacant Finance And Administration Positions,13,15,46,2,0
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,0,0,1
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,0,21,18,12,14
Vacant Public Safety Positions,0,9,6,0,0
Road Transport Positions,34,38,0,0,0
Vacant Road Transport Positions,12,14,0,0,0
Sport And Recreation Positions,0,0,1,0,1
Vacant Sport And Recreation Positions,0,0,1,0,0
Waste Management Positions,0,1,0,0,24
Vacant Waste Management Positions,0,0,0,0,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,28,38,62,28,37
Vacant Other Positions,10,12,25,5,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,46 766,46 431,46 307,46 307,46 307
Domestic households with access to free basic service,4 380,4 432,4 600,0,0

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,2 591,2 591,1 412,1 412,1 418
Domestic households with access to free basic service,263,265,928,0,0
