All values: R'000,2016/17,2015/16,2014/15,2013/14


246 813,245 526

Population under 15,33.0%,34.2%
Population 15 to 64,61.0%,56.9%
Population over 65,5.9%,8.9%

 Per 100 (15-64),63.8,75.8

Males per 100 females,89.7,87.9

Per annum,0.12%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,12.5%,10.7%
Matric,18.0%,13.3%
Higher education,7.4%,7.8%

Households,63 514,67 931
Average household size,3.9,3.5
Female headed households,53.5%,54.5%
Formal dwellings,52.7%,49.1%
Housing owned,75.6%,66.5%

Flush toilet connected to sewerage,14.2%,14.2%
Weekly refuse removal,18.1%,16.0%
Piped water inside dwelling,14.8%,12.6%
Electricity for lighting,81.4%,62.4%

n/a,Financially unqualified with findings,Qualified audit opinion,Qualified audit opinion

Property rates,17 868,19 902,19 384,11 713
Service charges,3 740,3 625,3 591,3 470
Investment revenue,3 832,5 336,5 116,4 462
Transfers recognised - operational,150 113,239 409,194 400,169 877
Other own revenue,14 365,22 744,24 914,10 687
Total Revenue (excluding capital transfers and contributions),189 917,291 015,247 405,200 209
Employee costs,168 457,161 104,130 822,101 590
Remuneration of councillors,19 356,25 898,22 141,21 644
Depreciation & asset impairment,47 199,52 622,107 242,-
Finance charges,530,717,748,2 391
Materials and bulk purchases,9 150,79 834,17 690,10 209
Transfers and grants,-,-,-,-
Other expenditure,77 998,55 002,95 519,45 133
Total Expenditure,322 690,375 176,374 161,180 967
Surplus/(Deficit),(132 773),(84 161),(126 757),19 242
Transfers recognised - capital,58 864,80 897,88 742,8 479
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,(73 909),(3 264),(38 015),27 721
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,(73 909),(3 264),(38 015),27 721

Capital expenditure,9 341,68 122,90 586,6 173
Transfers recognised - capital,9 341,68 122,90 586,6 173
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,-,-,-,-
Total sources of capital funds,9 341,68 122,90 586,6 173

Total current assets,104 591,46 097,80 149,126 234
Total non current assets,923 062,856 235,829 464,489 241
Total current liabilities,26 653,50 620,62 773,72 060
Total non current liabilities,8 589,8 681,7 659,32 315
Community wealth/Equity,992 410,843 031,839 180,511 099

Net cash from (used) operating,(105 517),27 098,60 680,(805)
Net cash from (used) investing,(78 746),(65 847),(90 176),(2 561)
Net cash from (used) financing,(306),(387),(248),-
Cash/cash equivalents at the year end,(184 569),22 043,61 179,(3 366)

Unauthorised expenditure,n/a,-,83 585,6 722
Irregular expenditure,n/a,126 664,110 738,76 469
Fruitless & wasteful expenditure,n/a,43,47,146
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),161 104,130 822,101 590,88 361,80 069
Remuneration of councillors (R000),25 898,22 141,21 644,20 206,-

Total Employee Positions,552,636,624,489,461
Total Vacant Employee Positions,0,104,5,16,0
Total Vacancy Percentage,0.00%,16.35%,0.80%,3.27%,0.00%

Managerial Positions - S57,7,7,5,5,6
Vacant Managerial Positions - S57,0,0,0,0,0
Managerial Positions - by organogram,32,34,34,34,48
Vacant Managerial Positions - by organogram,0,6,5,0,0
Community And Social Service Positions,43,291,34,38,1
Vacant Community And Social Service Positions,0,52,0,3,0
Finance And Administration Positions,176,177,210,140,146
Vacant Finance And Administration Positions,0,34,0,1,0
Electricity Positions,4,0,4,4,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,112,0,93,62,78
Vacant Public Safety Positions,0,0,0,3,0
Road Transport Positions,45,0,41,87,52
Vacant Road Transport Positions,0,0,0,7,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,79,0,183,80,87
Vacant Waste Management Positions,0,0,0,2,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,54,127,20,39,43
Vacant Other Positions,0,12,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,45 249,45 249,42 412,42 412,42 194
Domestic households with access to free basic service,6 544,6 768,6 800,7 872,12 271

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,9 100,5 686,5 681,5 681,9 100
Domestic households with access to free basic service,0,0,0,0,0
