All values: R'000,2016/17,2015/16,2014/15,2013/14


63 694,65 248

Population under 15,31.1%,29.9%
Population 15 to 64,60.8%,58.3%
Population over 65,8.1%,11.8%

 Per 100 (15-64),64.6,71.5

Males per 100 females,88.9,88.7

Per annum,-0.55%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,7.8%,14.1%
Matric,21.4%,14.5%
Higher education,5.3%,3.7%

Households,17 149,19 471
Average household size,3.7,3.1
Female headed households,51.7%,51.0%
Formal dwellings,72.9%,71.6%
Housing owned,70.7%,80.9%

Flush toilet connected to sewerage,8.0%,5.0%
Weekly refuse removal,8.8%,7.2%
Piped water inside dwelling,7.2%,6.5%
Electricity for lighting,96.0%,91.4%

n/a,Qualified audit opinion,Qualified audit opinion,Disclaimer of audit opinion

Property rates,30 998,17 137,10 722,9 821
Service charges,683,572,536,526
Investment revenue,1 129,1 255,820,746
Transfers recognised - operational,81 938,88 919,75 686,71 339
Other own revenue,13 269,6 317,4 993,4 629
Total Revenue (excluding capital transfers and contributions),128 018,114 201,92 756,87 061
Employee costs,51 404,47 797,44 968,48 988
Remuneration of councillors,7 344,7 758,8 169,9 381
Depreciation & asset impairment,(504),13 652,20 065,16 894
Finance charges,1 116,3 675,-,-
Materials and bulk purchases,7 061,-,-,752
Transfers and grants,-,-,-,2 973
Other expenditure,57 904,47 845,45 765,50 936
Total Expenditure,124 324,120 728,118 968,129 924
Surplus/(Deficit),3 693,(6 527),(26 212),(42 863)
Transfers recognised - capital,20 475,23 484,30 615,27 765
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,24 168,16 957,4 403,(15 098)
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,24 168,16 957,4 403,(15 098)

Capital expenditure,25 427,37 501,25 389,46 066
Transfers recognised - capital,21 148,23 484,24 763,29 629
Public contributions & donations,-,-,-,16 437
Borrowing,-,10 171,-,-
Internally generated funds,4 279,3 847,626,-
Total sources of capital funds,25 427,37 501,25 389,46 066

Total current assets,37 415,34 393,23 510,34 676
Total non current assets,217 666,201 933,185 376,190 578
Total current liabilities,52 431,32 813,41 700,35 676
Total non current liabilities,9 868,9 868,5 666,9 104
Community wealth/Equity,192 781,193 645,161 520,180 475

Net cash from (used) operating,15 811,26 114,15 228,189 347
Net cash from (used) investing,(18 058),(24 181),(22 380),46 193
Net cash from (used) financing,-,(895),(1 303),(9 634)
Cash/cash equivalents at the year end,(1 047),1 201,164,250 274

Unauthorised expenditure,n/a,8 840,22 500,1 400
Irregular expenditure,n/a,54 440,28 524,37 094
Fruitless & wasteful expenditure,n/a,112,35,70
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),47 797,44 968,48 988,28 492,25 759
Remuneration of councillors (R000),7 758,8 169,9 381,6 234,6 433

Total Employee Positions,174,156,136,143,160
Total Vacant Employee Positions,26,19,2,7,2
Total Vacancy Percentage,14.94%,12.18%,1.47%,4.90%,1.25%

Managerial Positions - S57,5,5,4,5,5
Vacant Managerial Positions - S57,1,1,2,1,2
Managerial Positions - by organogram,22,22,22,22,15
Vacant Managerial Positions - by organogram,2,4,0,0,0
Community And Social Service Positions,0,0,0,48,37
Vacant Community And Social Service Positions,0,0,0,0,0
Finance And Administration Positions,43,46,37,39,45
Vacant Finance And Administration Positions,5,8,0,3,0
Electricity Positions,3,2,1,2,2
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,14,27,22,0,0
Vacant Public Safety Positions,0,2,0,0,0
Road Transport Positions,26,19,16,0,12
Vacant Road Transport Positions,9,3,0,0,0
Sport And Recreation Positions,1,1,1,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,60,34,33,27,44
Vacant Waste Management Positions,9,1,0,3,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,0,0,0,0,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,19 810,19 545,19 352,17 620,17 320
Domestic households with access to free basic service,4 090,3 787,3 500,4 672,3 740

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
