All values: R'000,2016/17,2015/16,2014/15,2013/14


159 515,151 379

Population under 15,29.2%,29.0%
Population 15 to 64,65.3%,61.9%
Population over 65,5.6%,9.1%

 Per 100 (15-64),53.2,61.5

Males per 100 females,92.9,92.7

Per annum,1.19%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,3.9%,6.6%
Matric,26.0%,15.7%
Higher education,5.9%,6.4%

Households,41 022,42 065
Average household size,3.9,3.4
Female headed households,47.9%,48.8%
Formal dwellings,74.5%,73.6%
Housing owned,64.0%,56.5%

Flush toilet connected to sewerage,41.7%,35.4%
Weekly refuse removal,29.2%,31.1%
Piped water inside dwelling,23.5%,23.8%
Electricity for lighting,96.5%,89.0%

n/a

Property rates,8 878
Service charges,35 730
Investment revenue,401
Transfers recognised - operational,124 011
Other own revenue,27 240
Total Revenue (excluding capital transfers and contributions),196 260
Employee costs,91 062
Remuneration of councillors,11 375
Depreciation & asset impairment,-
Finance charges,-
Materials and bulk purchases,15 439
Transfers and grants,10 808
Other expenditure,42 996
Total Expenditure,171 680
Surplus/(Deficit),24 581
Transfers recognised - capital,43 964
Contributions recognised - capital & contributed assets,-
Surplus/(Deficit) after capital transfers & contributions,68 545
Share of surplus/(deficit) of associate,-
Surplus/(Deficit) for the year,68 545

Capital expenditure,51 851
Transfers recognised - capital,41 894
Public contributions & donations,-
Borrowing,-
Internally generated funds,9 957
Total sources of capital funds,51 851

Total current assets,n/a
Total non current assets,n/a
Total current liabilities,n/a
Total non current liabilities,n/a
Community wealth/Equity,n/a

Net cash from (used) operating,106 255
Net cash from (used) investing,(51 221)
Net cash from (used) financing,-
Cash/cash equivalents at the year end,55 034

Unauthorised expenditure,n/a
Irregular expenditure,n/a
Fruitless & wasteful expenditure,n/a
S71 Unaudited
