All values: R'000,2016/17,2015/16,2014/15,2013/14


1 263 051,1 152 115

Population under 15,30.6%,25.5%
Population 15 to 64,63.6%,68.5%
Population over 65,5.9%,6.0%

 Per 100 (15-64),57.3,46.0

Males per 100 females,96.0,92.3

Per annum,2.09%,n/a

Unemployment rate (official),n/a,36.6%
Youth unemployment rate (official) 15-34,n/a,47.3%

No schooling,2.6%,3.0%
Matric,34.9%,30.5%
Higher education,11.1%,12.0%

Households,368 520,324 292
Average household size,3.4,3.4
Female headed households,41.6%,40.6%
Formal dwellings,92.5%,87.2%
Housing owned,68.4%,61.4%

Flush toilet connected to sewerage,90.5%,87.4%
Weekly refuse removal,84.8%,82.9%
Piped water inside dwelling,77.3%,74.1%
Electricity for lighting,95.4%,90.5%

n/a,Qualified audit opinion,Qualified audit opinion,Qualified audit opinion

Property rates,1 603 260,1 519 447,1 332 135,1 205 526
Service charges,4 810 177,4 645 943,4 051 915,3 810 943
Investment revenue,108 735,113 354,83 294,83 222
Transfers recognised - operational,894 358,1 148 940,1 481 999,1 300 058
Other own revenue,1 019 903,1 306 435,1 229 940,1 074 199
Total Revenue (excluding capital transfers and contributions),8 436 433,8 734 120,8 179 284,7 473 948
Employee costs,2 324 977,2 342 755,2 176 075,1 761 421
Remuneration of councillors,64 284,62 196,58 161,55 572
Depreciation & asset impairment,835 243,1 095 359,901 858,1 385 795
Finance charges,115 533,166 492,206 793,190 855
Materials and bulk purchases,3 273 413,3 223 273,3 010 082,2 741 331
Transfers and grants,120 879,24 825,25 691,19 731
Other expenditure,1 637 513,1 861 305,1 813 368,1 221 390
Total Expenditure,8 371 844,8 776 204,8 192 029,7 376 096
Surplus/(Deficit),64 589,(42 084),(12 746),97 852
Transfers recognised - capital,764 321,777 512,784 204,1 027 014
Contributions recognised - capital & contributed assets,106 419,47 747,-,-
Surplus/(Deficit) after capital transfers & contributions,935 329,783 176,771 458,1 124 866
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,935 329,783 176,771 458,1 124 866

Capital expenditure,1 296 936,1 351 900,1 436 107,1 575 579
Transfers recognised - capital,764 321,777 512,784 204,1 026 454
Public contributions & donations,106 419,47 747,56 854,31 987
Borrowing,-,-,-,-
Internally generated funds,426 196,526 641,595 049,517 139
Total sources of capital funds,1 296 936,1 351 900,1 436 107,1 575 579

Total current assets,3 383 493,3 488 660,3 236 700,3 199 991
Total non current assets,15 248 037,14 816 177,14 031 981,13 459 721
Total current liabilities,2 641 237,2 263 028,2 166 135,2 268 472
Total non current liabilities,3 315 388,3 311 775,3 171 589,3 194 977
Community wealth/Equity,12 674 905,12 730 034,11 930 957,11 196 264

Net cash from (used) operating,1 318 495,1 892 577,1 385 002,1 787 442
Net cash from (used) investing,(1 339 289),(1 621 817),(1 435 786),(1 661 126)
Net cash from (used) financing,(93 920),(104 093),(111 777),(99 101)
Cash/cash equivalents at the year end,1 497 792,1 612 505,1 445 536,1 608 097

Unauthorised expenditure,n/a,521,34 403,743 929
Irregular expenditure,n/a,1 286 084,1 348 339,1 052 377
Fruitless & wasteful expenditure,n/a,57 835,422 586,10 641
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),2 342 755,2 176 075,1 761 421,1 723 762,1 858 809
Remuneration of councillors (R000),62 196,58 161,55 572,53 010,49 919

Total Employee Positions,6 722,8 169,7 376,6 940,8 519
Total Vacant Employee Positions,3,1 613,1 686,0,1 099
Total Vacancy Percentage,0.04%,19.75%,22.86%,0.00%,12.90%

Managerial Positions - S57,10,11,11,39,13
Vacant Managerial Positions - S57,2,1,1,0,0
Managerial Positions - by organogram,47,47,171,92,134
Vacant Managerial Positions - by organogram,1,1,0,0,0
Community And Social Service Positions,0,710,665,505,285
Vacant Community And Social Service Positions,0,170,154,0,0
Finance And Administration Positions,1 365,2 264,1 971,1 610,1 387
Vacant Finance And Administration Positions,0,441,394,0,159
Electricity Positions,472,834,1 182,629,765
Vacant Electricity Positions,0,190,549,0,146
Enviromental Protection Positions,358,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,1 096,1 392,0,1 167,1 777
Vacant Health Positions,0,255,0,0,194
Public Safety Positions,930,1 097,1 107,1 025,1 160
Vacant Public Safety Positions,0,143,137,0,119
Road Transport Positions,0,0,0,0,347
Vacant Road Transport Positions,0,0,0,0,0
Sport And Recreation Positions,498,0,0,0,685
Vacant Sport And Recreation Positions,0,0,0,0,119
Waste Management Positions,583,0,438,0,0
Vacant Waste Management Positions,0,0,91,0,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,1 363,1 814,1 831,1 500,0
Vacant Water Positions,0,412,360,0,0
Other Positions,0,0,0,373,1 966
Vacant Other Positions,0,0,0,0,362


Blue Drop Score,n/a,n/a,72.43,n/a,90.04
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,361 499,334 275,334 850,324 292,321 570
Number of domestic households/delivery points,351 516,324 292,324 292,324 292,321 570
Inside the yard,327 312,299 416,294 863,292 602,283 570
Less than 200m from yard,24 204,24 876,29 429,31 690,38 000
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,69 954,76 272,74 151,83 660,86 172

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,314 398,314 398,314 398,311 488,306 476
Domestic households with access to free basic service,69 954,67 174,65 082,63 295,64 150

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,337 295,334 275,334 077,316 647,320 980
Number of households using
Flush toilet - public sewerage,308 855,280 036,275 483,267 065,276 850
Flush toilet - septic tank,2 140,2 140,2 140,2 140,2 127
Ventilated pit latrine,0,17 240,17 240,17 240,19 503
Bucket system,16 317,24 876,29 429,30 202,22 500
Other,0,0,0,0,0
Domestic households with access to free basic service,69 954,76 371,74 283,83 660,86 172

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,372 500,317 206,317 206,300 398,288 262
Domestic households with access to free basic service,69 954,67 214,66 876,83 660,86 172
