All values: R'000,2016/17,2015/16,2014/15,2013/14


128 848,123 821

Population under 15,40.4%,41.5%
Population 15 to 64,53.7%,52.1%
Population over 65,5.9%,6.3%

 Per 100 (15-64),86.4,91.8

Males per 100 females,84.4,83.8

Per annum,0.90%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,14.4%,17.8%
Matric,13.8%,9.8%
Higher education,4.3%,3.8%

Households,26 195,24 355
Average household size,4.9,4.5
Female headed households,60.0%,60.4%
Formal dwellings,32.3%,24.7%
Housing owned,92.7%,64.3%

Flush toilet connected to sewerage,0.5%,2.2%
Weekly refuse removal,1.0%,4.0%
Piped water inside dwelling,1.1%,2.7%
Electricity for lighting,51.0%,23.3%

n/a,Qualified audit opinion,Qualified audit opinion,Disclaimer of audit opinion

Property rates,5 020,4 708,2 722,2 891
Service charges,404,303,233,170
Investment revenue,-,1 955,1 709,1 754
Transfers recognised - operational,99 512,103 743,85 682,74 367
Other own revenue,8 221,5 197,3 198,3 413
Total Revenue (excluding capital transfers and contributions),113 156,115 905,93 542,82 596
Employee costs,55 468,53 577,39 431,33 436
Remuneration of councillors,5 863,-,9 163,9 027
Depreciation & asset impairment,-,15 449,10 583,9 128
Finance charges,-,2 145,-,12
Materials and bulk purchases,-,-,1 369,-
Transfers and grants,-,-,-,-
Other expenditure,49 847,98 493,53 000,60 865
Total Expenditure,111 178,169 664,113 545,112 467
Surplus/(Deficit),1 978,(53 759),(20 003),(29 871)
Transfers recognised - capital,106 219,92 293,56 077,44 271
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,108 197,38 534,36 074,14 400
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,108 197,38 534,36 074,14 400

Capital expenditure,74 775,90 515,86 809,470 153
Transfers recognised - capital,66 263,78 985,86 809,467 361
Public contributions & donations,8 421,-,-,2 792
Borrowing,-,-,-,-
Internally generated funds,91,11 530,-,-
Total sources of capital funds,74 775,90 515,86 809,470 153

Total current assets,17 456,21 999,20 490,30 206
Total non current assets,194 218,319 570,244 865,156 426
Total current liabilities,5 240,43 128,8 632,7 940
Total non current liabilities,122 331,5 074,36 063,5 873
Community wealth/Equity,84 103,293 366,220 660,172 819

Net cash from (used) operating,130 196,102 683,50 702,26 419
Net cash from (used) investing,(66 605),(83 416),(87 406),(25 076)
Net cash from (used) financing,-,(11 911),30 011,-
Cash/cash equivalents at the year end,72 435,9 244,2 626,9 319

Unauthorised expenditure,n/a,36 823,47 338,11 177
Irregular expenditure,n/a,179 661,97 471,15 065
Fruitless & wasteful expenditure,n/a,1 025,51,4 663
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),53 577,39 431,33 436,28 442,24 100
Remuneration of councillors (R000),-,9 163,9 027,8 114,9 802

Total Employee Positions,151,161,163,262,154
Total Vacant Employee Positions,0,7,2,106,1
Total Vacancy Percentage,0.00%,4.35%,1.23%,40.46%,0.65%

Managerial Positions - S57,6,6,6,6,6
Vacant Managerial Positions - S57,0,0,2,0,1
Managerial Positions - by organogram,18,15,15,15,0
Vacant Managerial Positions - by organogram,0,0,0,8,0
Community And Social Service Positions,59,59,64,88,57
Vacant Community And Social Service Positions,0,3,0,32,0
Finance And Administration Positions,68,81,78,98,55
Vacant Finance And Administration Positions,0,4,0,32,0
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,0,0,0,10,10
Vacant Public Safety Positions,0,0,0,0,0
Road Transport Positions,0,0,0,0,0
Vacant Road Transport Positions,0,0,0,0,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,0,0,0,45,26
Vacant Waste Management Positions,0,0,0,34,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,0,0,0,0,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,5 093,5 093,5 093,5 028,4 739
Domestic households with access to free basic service,1 723,427,365,300,365

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
