All values: R'000,2016/17,2015/16,2014/15,2013/14


309 702,290 390

Population under 15,40.7%,40.6%
Population 15 to 64,54.8%,54.0%
Population over 65,4.4%,5.4%

 Per 100 (15-64),82.4,85.2

Males per 100 females,86.7,86.0

Per annum,1.46%,n/a

Unemployment rate (official),n/a,44.8%
Youth unemployment rate (official) 15-34,n/a,55.0%

No schooling,13.1%,18.2%
Matric,17.5%,15.2%
Higher education,5.2%,4.2%

Households,61 867,61 647
Average household size,5.0,4.6
Female headed households,57.2%,57.6%
Formal dwellings,36.8%,33.8%
Housing owned,90.0%,69.9%

Flush toilet connected to sewerage,0.9%,1.7%
Weekly refuse removal,1.0%,1.8%
Piped water inside dwelling,0.4%,2.8%
Electricity for lighting,81.4%,71.0%

n/a,Clean audit outcome,Financially unqualified with findings,Financially unqualified with findings

Property rates,6 628,5 605,5 690,5 259
Service charges,169,200,188,178
Investment revenue,4 901,7 231,4 931,4 743
Transfers recognised - operational,213 070,245 981,186 230,157 576
Other own revenue,8 457,15 191,5 333,4 906
Total Revenue (excluding capital transfers and contributions),233 224,274 209,202 372,172 663
Employee costs,110 345,104 244,92 149,79 529
Remuneration of councillors,19 246,18 041,17 014,15 983
Depreciation & asset impairment,-,31 783,33 632,30 481
Finance charges,69,140,117,140
Materials and bulk purchases,24 189,4 964,4 938,4 463
Transfers and grants,-,-,-,-
Other expenditure,72 808,93 200,85 857,79 741
Total Expenditure,226 657,252 373,233 708,210 336
Surplus/(Deficit),6 567,21 836,(31 336),(37 674)
Transfers recognised - capital,-,58 809,61 324,48 566
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,6 567,80 645,29 988,10 892
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,6 567,80 645,29 988,10 892

Capital expenditure,50 560,82 942,74 421,65 660
Transfers recognised - capital,42 869,77 318,74 421,65 660
Public contributions & donations,3 730,-,-,-
Borrowing,-,-,-,-
Internally generated funds,3 961,5 624,-,-
Total sources of capital funds,50 560,82 942,74 421,65 660

Total current assets,166 244,109 071,75 685,82 922
Total non current assets,267 487,406 635,355 809,323 988
Total current liabilities,17 745,20 740,17 662,20 928
Total non current liabilities,3 662,4 711,4 221,3 614
Community wealth/Equity,412 324,490 256,409 612,382 367

Net cash from (used) operating,81 943,106 775,64 354,47 935
Net cash from (used) investing,(39 886),(71 559),(73 100),(56 728)
Net cash from (used) financing,164,1 037,(1 000),1 546
Cash/cash equivalents at the year end,78 268,101 947,65 694,75 440

Unauthorised expenditure,n/a,-,12 228,-
Irregular expenditure,n/a,2 301,13 912,26 842
Fruitless & wasteful expenditure,n/a,5,6,13
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),104 244,92 149,79 529,61 358,55 187
Remuneration of councillors (R000),18 041,17 014,15 983,13 719,12 333

Total Employee Positions,318,314,282,260,320
Total Vacant Employee Positions,4,16,8,0,70
Total Vacancy Percentage,1.26%,5.10%,2.84%,0.00%,21.88%

Managerial Positions - S57,7,7,7,7,8
Vacant Managerial Positions - S57,0,1,0,0,0
Managerial Positions - by organogram,18,16,12,7,17
Vacant Managerial Positions - by organogram,3,1,1,0,1
Community And Social Service Positions,26,20,132,120,145
Vacant Community And Social Service Positions,0,2,0,0,41
Finance And Administration Positions,96,91,91,91,114
Vacant Finance And Administration Positions,0,3,0,0,25
Electricity Positions,3,3,3,2,0
Vacant Electricity Positions,0,1,0,0,0
Enviromental Protection Positions,0,1,0,11,13
Vacant Enviromental Protection Positions,0,0,0,0,2
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,78,80,0,0,0
Vacant Public Safety Positions,0,1,0,0,0
Road Transport Positions,37,36,27,22,23
Vacant Road Transport Positions,0,3,5,0,1
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,42,43,10,0,0
Vacant Waste Management Positions,0,3,2,0,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,11,17,0,0,0
Vacant Other Positions,1,1,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,46 831,45 407,43 760,9 835,9 835
Domestic households with access to free basic service,10 167,2 700,3 333,569,2 236

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,3 000,3 000,1 081,349,345
Domestic households with access to free basic service,0,0,0,0,0
