All values: R'000,2016/17,2015/16,2014/15,2013/14


166 779,156 136

Population under 15,42.7%,42.5%
Population 15 to 64,52.6%,51.8%
Population over 65,4.7%,5.6%

 Per 100 (15-64),90.1,92.9

Males per 100 females,85.9,84.4

Per annum,1.50%,n/a

Unemployment rate (official),n/a,50.3%
Youth unemployment rate (official) 15-34,n/a,61.0%

No schooling,16.1%,23.5%
Matric,15.6%,11.9%
Higher education,3.4%,3.9%

Households,33 951,31 715
Average household size,4.9,4.5
Female headed households,59.3%,60.1%
Formal dwellings,36.9%,24.6%
Housing owned,83.6%,72.9%

Flush toilet connected to sewerage,1.0%,1.9%
Weekly refuse removal,0.5%,3.1%
Piped water inside dwelling,1.8%,2.7%
Electricity for lighting,82.1%,67.8%

n/a,Qualified audit opinion,Disclaimer of audit opinion,Qualified audit opinion

Property rates,7 642,6 741,3 962,6 629
Service charges,774,756,726,709
Investment revenue,582,1 650,808,862
Transfers recognised - operational,147 323,124 994,89 736,88 268
Other own revenue,3 644,3 878,3 176,2 769
Total Revenue (excluding capital transfers and contributions),159 964,138 020,98 409,99 237
Employee costs,40 428,50 266,52 232,36 475
Remuneration of councillors,9 046,11 346,10 123,7 859
Depreciation & asset impairment,-,27 677,29 885,28 994
Finance charges,16,1 704,11 734,0
Materials and bulk purchases,-,-,-,32 351
Transfers and grants,2 498,-,-,3 800
Other expenditure,46 070,48 354,36 979,7 111
Total Expenditure,98 058,139 347,140 953,116 590
Surplus/(Deficit),61 906,(1 327),(42 544),(17 353)
Transfers recognised - capital,5 689,24 278,23 999,32 477
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,67 595,22 951,(18 545),15 124
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,67 595,22 951,(18 545),15 124

Capital expenditure,36 777,31 700,38 507,-
Transfers recognised - capital,36 777,29 166,38 507,-
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,-,2 534,-,-
Total sources of capital funds,36 777,31 700,38 507,-

Total current assets,2 178,44 217,37 165,23 792
Total non current assets,116,371 413,354 467,380 207
Total current liabilities,502,39 788,70 302,37 192
Total non current liabilities,-,8 934,8 258,9 649
Community wealth/Equity,1 792,366 908,313 071,357 159

Net cash from (used) operating,(7 055),56 687,33 112,38 506
Net cash from (used) investing,(39 477),(19 865),(29 522),(56 229)
Net cash from (used) financing,-,(9 188),(8 647),-
Cash/cash equivalents at the year end,(44 001),37 281,9 654,(2 816)

Unauthorised expenditure,n/a,-,3 725,-
Irregular expenditure,n/a,18 251,30 496,62 065
Fruitless & wasteful expenditure,n/a,3 431,1 521,9 580
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),50 266,52 232,36 475,30 374,26 332
Remuneration of councillors (R000),11 346,10 123,7 859,8 808,8 371

Total Employee Positions,214,352,285,290,288
Total Vacant Employee Positions,10,147,89,109,106
Total Vacancy Percentage,4.67%,41.76%,31.23%,37.59%,36.81%

Managerial Positions - S57,6,6,6,6,6
Vacant Managerial Positions - S57,0,1,1,1,2
Managerial Positions - by organogram,15,8,8,8,6
Vacant Managerial Positions - by organogram,10,3,3,8,4
Community And Social Service Positions,0,0,3,3,3
Vacant Community And Social Service Positions,0,0,3,3,3
Finance And Administration Positions,68,109,99,99,99
Vacant Finance And Administration Positions,0,40,48,48,48
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,20,66,18,23,23
Vacant Public Safety Positions,0,44,3,18,18
Road Transport Positions,44,89,0,0,0
Vacant Road Transport Positions,0,39,0,0,0
Sport And Recreation Positions,0,0,1,1,1
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,60,65,65,0,65
Vacant Waste Management Positions,0,16,0,0,0
Waste Water Management Positions,0,0,0,65,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,1,9,85,85,85
Vacant Other Positions,0,4,31,31,31


Blue Drop Score,n/a,n/a,0.00,0.00,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,No,No,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,No,Yes,Yes
Does the municipality actually provide?,No,No,No,No,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,10 032,10 032,9 721,9 721,9 721
Domestic households with access to free basic service,4 112,4 112,4 112,3 031,3 031

Green Drop Score,n/a,n/a,0,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,798,798,798,866,866
