All values: R'000,2016/17,2015/16,2014/15,2013/14


63 846,62 284

Population under 15,38.7%,34.9%
Population 15 to 64,56.2%,57.7%
Population over 65,5.2%,7.4%

 Per 100 (15-64),78.0,73.4

Males per 100 females,94.1,93.1

Per annum,0.56%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,16.2%,12.5%
Matric,16.6%,14.2%
Higher education,6.6%,6.3%

Households,14 848,15 827
Average household size,4.3,3.7
Female headed households,49.6%,52.0%
Formal dwellings,67.6%,65.0%
Housing owned,60.4%,42.1%

Flush toilet connected to sewerage,16.3%,20.6%
Weekly refuse removal,7.1%,14.8%
Piped water inside dwelling,14.7%,18.2%
Electricity for lighting,93.9%,78.9%

n/a,Financially unqualified with findings,Financially unqualified with findings,Qualified audit opinion

Property rates,10 005,5 259,5 119,4 436
Service charges,6 697,10 572,11 860,21 290
Investment revenue,481,976,526,1 684
Transfers recognised - operational,57 700,64 446,55 095,46 427
Other own revenue,4 553,7 405,9 710,25 128
Total Revenue (excluding capital transfers and contributions),79 436,88 658,82 310,98 966
Employee costs,22 300,30 088,28 810,31 602
Remuneration of councillors,3 617,5 962,5 491,5 371
Depreciation & asset impairment,0,6 193,10 618,-
Finance charges,316,635,769,17
Materials and bulk purchases,8 001,11 790,8 619,-
Transfers and grants,4 180,4 461,4 297,4 156
Other expenditure,16 303,41 701,21 659,37 267
Total Expenditure,54 718,100 830,80 264,78 414
Surplus/(Deficit),24 718,(12 171),2 047,20 552
Transfers recognised - capital,7 691,20 984,13 653,20 851
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,32 410,8 813,15 700,41 404
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,32 410,8 813,15 700,41 404

Capital expenditure,5 085,27 566,20 251,17 029
Transfers recognised - capital,4 460,22 611,20 151,17 029
Public contributions & donations,-,-,-,-
Borrowing,-,3 665,-,-
Internally generated funds,625,1 289,99,-
Total sources of capital funds,5 085,27 566,20 251,17 029

Total current assets,n/a,11 235,18 194,11 589
Total non current assets,n/a,205 176,183 804,144 193
Total current liabilities,n/a,16 326,16 202,23 747
Total non current liabilities,n/a,20 635,15 159,6 312
Community wealth/Equity,n/a,179 450,170 637,125 723

Net cash from (used) operating,13 674,22 398,25 107,(56 774)
Net cash from (used) investing,(8 359),(27 566),(18 317),4 553
Net cash from (used) financing,(1 163),3 270,(2 972),217
Cash/cash equivalents at the year end,-,4 537,10 253,(52 004)

Unauthorised expenditure,n/a,19 036,11 940,30 336
Irregular expenditure,n/a,12 405,17 228,23 734
Fruitless & wasteful expenditure,n/a,-,20,25
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),30 088,28 810,31 602,28 142,27 717
Remuneration of councillors (R000),5 962,5 491,5 371,4 893,4 459

Total Employee Positions,199,183,225,199,174
Total Vacant Employee Positions,48,3,43,17,0
Total Vacancy Percentage,24.12%,1.64%,19.11%,8.54%,0.00%

Managerial Positions - S57,6,6,6,6,6
Vacant Managerial Positions - S57,1,1,1,1,0
Managerial Positions - by organogram,6,6,8,8,0
Vacant Managerial Positions - by organogram,0,2,4,2,0
Community And Social Service Positions,33,17,62,52,52
Vacant Community And Social Service Positions,13,0,12,2,0
Finance And Administration Positions,62,43,41,33,33
Vacant Finance And Administration Positions,16,0,10,0,0
Electricity Positions,8,5,4,4,4
Vacant Electricity Positions,4,0,0,0,0
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,12,13,12,12,9
Vacant Public Safety Positions,2,0,4,4,0
Road Transport Positions,20,14,20,14,14
Vacant Road Transport Positions,12,0,9,0,0
Sport And Recreation Positions,0,2,4,4,1
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,48,46,33,26,26
Vacant Waste Management Positions,0,0,0,2,0
Waste Water Management Positions,0,9,8,20,19
Vacant Waste Water Management Positions,0,0,0,1,0
Water Positions,0,13,17,17,8
Vacant Water Positions,0,0,3,5,0
Other Positions,4,9,10,3,2
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,0.00,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,4 962,4 859,4 741
Number of domestic households/delivery points,0,0,4 856,4 714,4 645
Inside the yard,0,0,4 579,4 516,4 541
Less than 200m from yard,0,0,200,118,86
More than 200m from yard,0,0,77,80,18
Domestic households with access to free basic service,0,0,3 473,2 534,2 193

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,8 508,8 508,8 508,8 362,8 338
Domestic households with access to free basic service,4 299,4 299,3 473,2 534,2 193

Green Drop Score,n/a,n/a,0,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,3 169,3 066,3 064
Number of households using
Flush toilet - public sewerage,0,0,2 674,2 562,2 544
Flush toilet - septic tank,0,0,168,204,258
Ventilated pit latrine,0,0,208,208,172
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
Domestic households with access to free basic service,0,0,3 050,2 534,1 678

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,4 647,4 622,4 223,3 740,3 740
Domestic households with access to free basic service,1 712,1 712,2 534,2 534,2 193
