All values: R'000,2016/17,2015/16,2014/15,2013/14


479 923,450 584

Population under 15,30.1%,27.2%
Population 15 to 64,63.6%,65.8%
Population over 65,6.3%,7.0%

 Per 100 (15-64),57.1,52.0

Males per 100 females,96.8,95.6

Per annum,1.43%,n/a

Unemployment rate (official),n/a,24.9%
Youth unemployment rate (official) 15-34,n/a,31.4%

No schooling,4.8%,7.5%
Matric,24.5%,20.3%
Higher education,6.4%,8.3%

Households,138 182,125 632
Average household size,3.5,3.4
Female headed households,40.0%,38.5%
Formal dwellings,87.1%,85.7%
Housing owned,53.8%,49.2%

Flush toilet connected to sewerage,77.2%,63.8%
Weekly refuse removal,83.0%,78.7%
Piped water inside dwelling,48.1%,51.0%
Electricity for lighting,91.0%,87.3%

n/a,Financially unqualified with findings,Clean audit outcome,Clean audit outcome

Property rates,-,-,-,-
Service charges,-,-,-,-
Investment revenue,18 834,18 055,17 262,14 767
Transfers recognised - operational,85 967,95 432,93 932,94 506
Other own revenue,3 259,14 325,2 717,29 837
Total Revenue (excluding capital transfers and contributions),108 059,127 812,113 911,139 111
Employee costs,37 407,38 545,39 381,37 842
Remuneration of councillors,6 478,6 636,6 407,6 144
Depreciation & asset impairment,-,1 731,1 506,1 299
Finance charges,-,-,-,-
Materials and bulk purchases,-,-,-,-
Transfers and grants,3 845,27 807,20 363,32 437
Other expenditure,74 880,57 198,54 119,59 262
Total Expenditure,122 610,131 916,121 776,136 984
Surplus/(Deficit),(14 550),(4 105),(7 866),2 127
Transfers recognised - capital,-,-,-,-
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,(14 550),(4 105),(7 866),2 127
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,(14 550),(4 105),(7 866),2 127

Capital expenditure,5 709,1 403,1 058,5 451
Transfers recognised - capital,-,-,-,-
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,5 709,1 403,1 058,5 451
Total sources of capital funds,5 709,1 403,1 058,5 451

Total current assets,8 596,240 925,260 344,259 768
Total non current assets,320 956,85 447,89 251,88 346
Total current liabilities,33 266,30 086,42 048,38 250
Total non current liabilities,60 116,60 116,62 513,58 969
Community wealth/Equity,236 169,236 169,245 033,250 895

Net cash from (used) operating,(49 098),(15 746),6 753,7 302
Net cash from (used) investing,(5 709),(2 040),(961),(2 920)
Net cash from (used) financing,-,32 006,(49 923),34 229
Cash/cash equivalents at the year end,44 494,98 205,85 303,129 434

Unauthorised expenditure,n/a,-,-,-
Irregular expenditure,n/a,1 524,3 109,12 084
Fruitless & wasteful expenditure,n/a,297,782,-
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),38 545,39 381,37 842,36 441,32 981
Remuneration of councillors (R000),6 636,6 407,6 144,5 665,5 264

Total Employee Positions,87,101,83,104,88
Total Vacant Employee Positions,1,4,0,8,1
Total Vacancy Percentage,1.15%,3.96%,0.00%,7.69%,1.14%

Managerial Positions - S57,4,4,4,6,4
Vacant Managerial Positions - S57,0,0,0,0,0
Managerial Positions - by organogram,14,14,14,14,23
Vacant Managerial Positions - by organogram,1,0,0,3,1
Community And Social Service Positions,0,4,4,0,2
Vacant Community And Social Service Positions,0,1,0,0,0
Finance And Administration Positions,43,58,42,60,38
Vacant Finance And Administration Positions,0,2,0,5,0
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,2,2,2,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,3,3
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,1,5,5,6,6
Vacant Public Safety Positions,0,0,0,0,0
Road Transport Positions,0,0,1,0,0
Vacant Road Transport Positions,0,0,0,0,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,0,0,0,0,0
Vacant Waste Management Positions,0,0,0,0,0
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,23,14,11,15,12
Vacant Other Positions,0,1,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,Yes
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,Yes
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,Yes
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
Other,0,0,0,0,0
