All values: R'000,2016/17,2015/16,2014/15,2013/14


140 720,134 150

Population under 15,36.9%,34.0%
Population 15 to 64,58.0%,58.3%
Population over 65,5.1%,7.7%

 Per 100 (15-64),72.4,71.4

Males per 100 females,85.7,88.0

Per annum,1.09%,n/a

Unemployment rate (official),n/a,35.5%
Youth unemployment rate (official) 15-34,n/a,43.6%

No schooling,10.7%,14.5%
Matric,19.0%,13.2%
Higher education,5.3%,5.4%

Households,35 597,38 046
Average household size,4.0,3.5
Female headed households,48.4%,50.5%
Formal dwellings,78.5%,70.2%
Housing owned,83.4%,68.5%

Flush toilet connected to sewerage,13.2%,11.9%
Weekly refuse removal,13.0%,12.5%
Piped water inside dwelling,8.1%,8.7%
Electricity for lighting,93.1%,81.1%

n/a,Clean audit outcome,Clean audit outcome,Clean audit outcome

Property rates,9 132,4 654,4 607,4 492
Service charges,35 849,30 896,29 279,26 052
Investment revenue,19 422,13 913,10 512,8 881
Transfers recognised - operational,145 329,149 152,124 358,111 527
Other own revenue,6 609,11 838,12 861,7 408
Total Revenue (excluding capital transfers and contributions),216 340,210 454,181 616,158 361
Employee costs,69 679,62 173,54 496,48 400
Remuneration of councillors,10 863,11 064,10 399,9 580
Depreciation & asset impairment,17 785,18 352,18 368,11 766
Finance charges,1 138,2 528,1 341,1 281
Materials and bulk purchases,27 717,23 771,20 079,19 424
Transfers and grants,-,-,480,111
Other expenditure,53 253,54 781,56 000,47 447
Total Expenditure,180 436,172 668,161 163,138 009
Surplus/(Deficit),35 904,37 786,20 453,20 351
Transfers recognised - capital,14 884,31 956,27 636,35 686
Contributions recognised - capital & contributed assets,-,77,-,-
Surplus/(Deficit) after capital transfers & contributions,50 788,69 818,48 089,56 037
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,50 788,69 818,48 089,56 037

Capital expenditure,40 161,38 885,47 075,52 727
Transfers recognised - capital,36 457,31 996,26 443,35 686
Public contributions & donations,-,-,-,-
Borrowing,-,-,-,-
Internally generated funds,3 704,6 889,20 632,17 041
Total sources of capital funds,40 161,38 885,47 075,52 727

Total current assets,286 163,242 347,202 808,181 062
Total non current assets,307 786,325 512,298 131,246 749
Total current liabilities,54 888,31 120,34 524,29 434
Total non current liabilities,33 531,31 192,29 589,28 475
Community wealth/Equity,505 530,505 547,436 826,369 903

Net cash from (used) operating,71 754,76 794,69 269,61 904
Net cash from (used) investing,(40 161),(38 636),(48 127),(52 543)
Net cash from (used) financing,(815),(700),(672),(624)
Cash/cash equivalents at the year end,251 695,220 917,183 460,162 990

Unauthorised expenditure,n/a,-,-,-
Irregular expenditure,n/a,803,688,1 229
Fruitless & wasteful expenditure,n/a,2,1 008,-
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),62 173,54 496,48 400,40 018,30 793
Remuneration of councillors (R000),11 064,10 399,9 580,8 858,8 387

Total Employee Positions,240,230,215,228,252
Total Vacant Employee Positions,2,5,0,21,33
Total Vacancy Percentage,0.83%,2.17%,0.00%,9.21%,13.10%

Managerial Positions - S57,6,6,6,6,6
Vacant Managerial Positions - S57,0,0,0,0,0
Managerial Positions - by organogram,18,14,14,6,10
Vacant Managerial Positions - by organogram,2,0,0,0,2
Community And Social Service Positions,39,6,5,105,34
Vacant Community And Social Service Positions,0,0,0,2,1
Finance And Administration Positions,46,56,59,62,67
Vacant Finance And Administration Positions,0,1,0,12,18
Electricity Positions,10,10,10,1,8
Vacant Electricity Positions,0,0,0,1,2
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,14,14,10,0,16
Vacant Public Safety Positions,0,0,0,0,8
Road Transport Positions,17,16,15,0,19
Vacant Road Transport Positions,0,1,0,0,1
Sport And Recreation Positions,0,0,24,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,70,101,69,0,49
Vacant Waste Management Positions,0,3,0,0,1
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,43
Vacant Water Positions,0,0,0,0,0
Other Positions,20,7,3,48,0
Vacant Other Positions,0,0,0,6,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,Yes,Yes,Yes
Does the municipality actually provide?,No,No,No,No,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,7 214
Number of domestic households/delivery points,0,0,0,0,7 214
Inside the yard,0,0,0,0,7 214
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,4 151

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,36 472,34 131,33 734,32 358,29 518
Domestic households with access to free basic service,12 523,11 820,12 523,12 519,9 210

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,Yes,Yes
Does the municipality actually provide?,No,No,No,No,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,5 925
Number of households using
Flush toilet - public sewerage,0,0,0,0,4 985
Flush toilet - septic tank,0,0,0,0,0
