All values: R'000,2016/17,2015/16,2014/15,2013/14


199 620,191 775

Population under 15,36.6%,38.3%
Population 15 to 64,57.0%,55.0%
Population over 65,6.4%,6.7%

 Per 100 (15-64),75.4,81.9

Males per 100 females,85.7,84.8

Per annum,0.91%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,4.4%,7.9%
Matric,16.9%,13.6%
Higher education,5.9%,6.2%

Households,51 530,46 931
Average household size,3.9,3.8
Female headed households,56.2%,58.7%
Formal dwellings,45.2%,37.7%
Housing owned,78.4%,61.7%

Flush toilet connected to sewerage,5.1%,5.3%
Weekly refuse removal,4.3%,7.1%
Piped water inside dwelling,3.3%,4.4%
Electricity for lighting,64.5%,45.2%

n/a,Clean audit outcome,Financially unqualified with findings,Financially unqualified with findings

Property rates,14 401,12 035,8 946,8 468
Service charges,715,1 478,1 427,1 326
Investment revenue,3 860,4 855,3 705,3 173
Transfers recognised - operational,124 131,177 254,142 203,156 655
Other own revenue,11 310,13 227,11 961,16 493
Total Revenue (excluding capital transfers and contributions),154 417,208 850,168 241,186 115
Employee costs,55 655,55 311,50 613,45 599
Remuneration of councillors,15 563,15 437,14 622,13 848
Depreciation & asset impairment,15 932,30 460,30 757,30 206
Finance charges,-,1 094,2 545,1 915
Materials and bulk purchases,-,-,-,-
Transfers and grants,4 387,3 930,3 174,17 340
Other expenditure,80 354,83 830,104 222,57 875
Total Expenditure,171 892,190 063,205 933,166 784
Surplus/(Deficit),(17 474),18 787,(37 692),19 331
Transfers recognised - capital,74 298,77 584,68 359,60 373
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,56 824,96 371,30 667,79 704
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,56 824,96 371,30 667,79 704

Capital expenditure,118 441,84 354,84 593,105 954
Transfers recognised - capital,105 952,77 864,68 112,59 742
Public contributions & donations,-,-,-,3 032
Borrowing,-,-,-,43 180
Internally generated funds,12 489,6 490,16 481,-
Total sources of capital funds,118 441,84 354,84 593,105 954

Total current assets,67 146,63 998,44 890,64 469
Total non current assets,573 641,491 254,439 187,410 359
Total current liabilities,14 254,16 629,43 267,34 742
Total non current liabilities,11 021,11 021,10 052,39 996
Community wealth/Equity,615 512,527 602,430 757,400 090

Net cash from (used) operating,150 351,132 039,90 264,73 881
Net cash from (used) investing,(127 751),(84 354),(83 617),(130 504)
Net cash from (used) financing,-,(26 716),(23 872),49 651
Cash/cash equivalents at the year end,68 822,46 220,25 251,42 476

Unauthorised expenditure,n/a,-,-,-
Irregular expenditure,n/a,-,-,585
Fruitless & wasteful expenditure,n/a,226,-,-
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),55 311,50 613,45 599,39 573,33 919
Remuneration of councillors (R000),15 437,14 622,13 848,13 220,13 113

Total Employee Positions,334,336,337,367,373
Total Vacant Employee Positions,5,9,9,18,16
Total Vacancy Percentage,1.50%,2.68%,2.67%,4.90%,4.29%

Managerial Positions - S57,7,7,7,7,7
Vacant Managerial Positions - S57,0,0,0,2,2
Managerial Positions - by organogram,21,21,21,21,21
Vacant Managerial Positions - by organogram,1,2,2,2,0
Community And Social Service Positions,13,13,13,61,61
Vacant Community And Social Service Positions,1,1,1,3,3
Finance And Administration Positions,90,90,90,91,90
Vacant Finance And Administration Positions,3,4,4,2,2
Electricity Positions,0,0,0,0,0
Vacant Electricity Positions,0,0,0,0,0
Enviromental Protection Positions,0,0,0,0,0
Vacant Enviromental Protection Positions,0,0,0,0,0
Health Positions,0,0,0,0,0
Vacant Health Positions,0,0,0,0,0
Public Safety Positions,28,28,28,17,19
Vacant Public Safety Positions,0,0,0,7,7
Road Transport Positions,19,19,19,18,19
Vacant Road Transport Positions,0,0,0,0,0
Sport And Recreation Positions,0,0,0,0,0
Vacant Sport And Recreation Positions,0,0,0,0,0
Waste Management Positions,156,158,159,152,156
Vacant Waste Management Positions,0,2,2,2,2
Waste Water Management Positions,0,0,0,0,0
Vacant Waste Water Management Positions,0,0,0,0,0
Water Positions,0,0,0,0,0
Vacant Water Positions,0,0,0,0,0
Other Positions,0,0,0,0,0
Vacant Other Positions,0,0,0,0,0


Blue Drop Score,n/a,n/a,n/a,n/a,n/a
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of domestic households/delivery points,0,0,0,0,0
Inside the yard,0,0,0,0,0
Less than 200m from yard,0,0,0,0,0
More than 200m from yard,0,0,0,0,0
Domestic households with access to free basic service,0,0,0,0,0

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,No,No
Does the municipality actually provide?,Yes,Yes,Yes,Yes,No
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,28 000,28 000,18 256,18 256,13 739
Domestic households with access to free basic service,6 187,2 065,2 065,1 283,1 483

Green Drop Score,n/a,n/a,n/a,0,0
Is the municipality responsible to provide?,No,No,No,No,No
Does the municipality have infrastructure to provide?,No,No,No,No,No
Does the municipality actually provide?,No,No,No,No,No
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,0,0,0,0,0
Number of households using
Flush toilet - public sewerage,0,0,0,0,0
Flush toilet - septic tank,0,0,0,0,0
Ventilated pit latrine,0,0,0,0,0
Bucket system,0,0,0,0,0
