All values: R'000,2016/17,2015/16,2014/15,2013/14


787 803,775 184

Population under 15,29.7%,27.1%
Population 15 to 64,65.0%,67.6%
Population over 65,5.3%,5.4%

 Per 100 (15-64),54.0,48.0

Males per 100 females,94.2,93.9

Per annum,0.37%,n/a

Unemployment rate (official),n/a,n/a
Youth unemployment rate (official) 15-34,n/a,n/a

No schooling,5.2%,4.3%
Matric,32.8%,29.1%
Higher education,13.3%,13.1%

Households,265 561,240 700
Average household size,3.0,3.1
Female headed households,41.4%,41.0%
Formal dwellings,87.1%,83.8%
Housing owned,70.1%,62.3%

Flush toilet connected to sewerage,66.7%,61.5%
Weekly refuse removal,78.9%,77.8%
Piped water inside dwelling,38.2%,45.5%
Electricity for lighting,95.5%,91.5%

n/a,Audit not finalised at legislated date,Financially unqualified with findings,Financially unqualified with findings

Property rates,993 659,810 476,871 212,969 482
Service charges,3 312 626,2 891 918,2 887 093,2 646 965
Investment revenue,30 039,45 387,56 445,47 918
Transfers recognised - operational,909 349,920 162,923 954,950 472
Other own revenue,436 553,251 157,372 566,343 184
Total Revenue (excluding capital transfers and contributions),5 682 226,4 919 101,5 111 271,4 958 021
Employee costs,1 601 646,1 423 526,1 261 006,1 105 567
Remuneration of councillors,57 320,52 422,49 594,47 107
Depreciation & asset impairment,611 645,698 920,627 295,410 971
Finance charges,107 279,140 680,97 064,70 145
Materials and bulk purchases,1 876 830,2 250 097,1 984 839,1 752 027
Transfers and grants,14 751,5 196,183 089,4 273
Other expenditure,1 985 374,1 394 328,1 474 477,1 463 021
Total Expenditure,6 254 845,5 965 169,5 677 365,4 853 111
Surplus/(Deficit),(572 618),(1 046 069),(566 095),104 910
Transfers recognised - capital,348 650,790 010,684 359,772 311
Contributions recognised - capital & contributed assets,-,-,-,-
Surplus/(Deficit) after capital transfers & contributions,(223 969),(256 059),118 264,877 220
Share of surplus/(deficit) of associate,-,-,-,-
Surplus/(Deficit) for the year,(223 969),(256 059),118 264,877 220

Capital expenditure,1 128 329,1 683 063,1 264 718,1 092 997
Transfers recognised - capital,510 738,1 020 308,1 087 245,772 331
Public contributions & donations,40 895,-,-,25 713
Borrowing,347 139,-,-,28 772
Internally generated funds,229 558,662 755,177 473,266 181
Total sources of capital funds,1 128 329,1 683 063,1 264 718,1 092 997

Total current assets,3 688 080,2 097 954,2 127 409,1 896 518
Total non current assets,17 900 492,16 223 844,15 191 027,12 686 666
Total current liabilities,3 043 562,2 362 344,1 642 251,1 385 963
Total non current liabilities,2 404 738,2 464 682,1 731 989,1 310 330
Community wealth/Equity,16 140 273,13 494 772,13 944 196,11 886 890

Net cash from (used) operating,397 868,1 074 026,860 639,1 108 573
Net cash from (used) investing,(1 012 025),(1 228 373),(1 339 331),(1 384 727)
Net cash from (used) financing,621 926,167 115,388 589,125 277
Cash/cash equivalents at the year end,466 215,325 679,362 164,452 209

Unauthorised expenditure,n/a,-,1 006 016,498 003
Irregular expenditure,n/a,-,8 066,47 479
Fruitless & wasteful expenditure,n/a,-,209,226
S71 Unaudited,S71 Audited,S71 Audited,S71 Audited


Employment Costs (R000),1 423 526,1 261 006,1 105 567,977 491,860 488
Remuneration of councillors (R000),52 422,49 594,47 107,43 610,41 318

Total Employee Positions,8 613,7 803,6 256,6 454,5 259
Total Vacant Employee Positions,4 315,3 905,1 995,2 116,1 633
Total Vacancy Percentage,50.10%,50.04%,31.89%,32.79%,31.05%

Managerial Positions - S57,10,10,9,9,9
Vacant Managerial Positions - S57,4,2,0,0,3
Managerial Positions - by organogram,276,244,231,224,145
Vacant Managerial Positions - by organogram,123,106,80,69,34
Community And Social Service Positions,185,1 032,637,932,684
Vacant Community And Social Service Positions,49,440,200,264,157
Finance And Administration Positions,888,782,1 301,1 081,892
Vacant Finance And Administration Positions,349,259,472,423,364
Electricity Positions,711,687,668,653,692
Vacant Electricity Positions,343,311,236,199,202
Enviromental Protection Positions,488,45,21,114,114
Vacant Enviromental Protection Positions,184,11,18,45,47
Health Positions,11,9,88,87,87
Vacant Health Positions,8,4,33,30,31
Public Safety Positions,862,620,653,665,673
Vacant Public Safety Positions,540,368,254,254,236
Road Transport Positions,909,661,636,551,550
Vacant Road Transport Positions,675,418,188,185,158
Sport And Recreation Positions,350,260,9,9,9
Vacant Sport And Recreation Positions,120,60,3,3,3
Waste Management Positions,689,730,564,774,384
Vacant Waste Management Positions,260,243,151,219,58
Waste Water Management Positions,669,695,818,987,675
Vacant Waste Water Management Positions,336,310,180,279,211
Water Positions,568,573,0,0,0
Vacant Water Positions,296,309,0,0,0
Other Positions,1 997,1 455,621,368,345
Vacant Other Positions,1 028,1 064,180,146,129


Blue Drop Score,n/a,n/a,77.47,n/a,84.45
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,175 556,171 050,204 642,200 664,168 715
Number of domestic households/delivery points,171 132,167 131,163 043,196 745,164 796
Inside the yard,171 132,163 251,159 163,190 318,160 916
Less than 200m from yard,0,3 880,3 880,3 880,3 880
More than 200m from yard,0,0,0,2 547,0
Domestic households with access to free basic service,24 753,26 889,24 108,14 365,32 625

Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,Yes,Yes,Yes,Yes,Yes
Number of households and non-domestic customers to which provided,208 214,197 243,194 410,187 191,178 828
Domestic households with access to free basic service,23 372,26 889,37 665,14 365,32 625

Green Drop Score,n/a,n/a,n/a,n/a,0
Is the municipality responsible to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality have infrastructure to provide?,Yes,Yes,Yes,Yes,Yes
Does the municipality actually provide?,Yes,Yes,Yes,Yes,Yes
Is the service outsourced/commercialised?,No,No,No,No,No
Number of households and non-domestic customers to which provided,176 460,176 460,148 869,161 696,131 715
Number of households using
Flush toilet - public sewerage,121 418,118 306,114 218,125 089,86 931
Flush toilet - septic tank,0,0,0,0,53
Ventilated pit latrine,48 976,50 221,24 680,31 269,29 502
Bucket system,2 107,3 974,132,1 419,1 135
Other,40,40,5 920,0,10 175
Domestic households with access to free basic service,29 034,26 889,43 796,14 365,32 625

